,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,50.0,7.0,,,0.5,0.9,0.3,,2.0,,0,,0,,,306,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.9,-2.3,-0.5,,-0.2,1.6
2018-01-01 01:40:00,72.0,67.0,,,,0.7,1.3,,2.1,,0,,0,,,301,,,,,,,0,,,,0.1,,,,0,,,,,,,-0.6,,-0.3,,-0.6,
2018-01-01 02:40:00,66.0,72.0,,,,1.8,1.2,,2.5,,0,,0,,,305,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.9,,-0.8,,-0.9,
2018-01-01 03:40:00,360.0,287.0,,,,0.8,1.4,,2.0,,0,,0,,,307,,,,,,,0,,,,0.0,,,,0,,,,,,,-1.0,,-0.9,,-0.9,
2018-01-01 04:40:00,305.0,347.0,,,,2.1,1.2,,3.8,,0,,0,,,307,,,,,,,0,,,,0.2,,,,0,,,,,,,-1.1,,-0.8,,-1.1,
2018-01-01 05:40:00,350.0,9.0,,,,3.0,1.1,,8.5,,0,,0,,,304,,,,,,,0,,,,0.6,,,,0,,,,,,,-2.5,,-0.7,,-0.6,
2018-01-01 06:40:00,36.0,46.0,,,,1.7,1.6,,5.7,,0,,0,,,278,,,,,,,0,,,,0.0,,,,0,,,,,,,-4.2,,-0.9,,-0.4,
2018-01-01 07:40:00,24.0,351.0,,,,2.4,2.4,,6.0,,0,,0,,,268,,,,,,,12,,,,0.0,,,,0,,,,,,,-5.9,,-0.6,,-0.3,
2018-01-01 08:40:00,355.0,8.0,,,,2.7,2.1,,6.8,,0,,0,,,240,,,,,,,89,,,,0.0,,,,7,,,,,,,-7.1,,-0.1,,-0.3,
2018-01-01 09:40:00,338.0,316.0,,,,4.2,5.0,,9.9,,0,,0,,,199,,,,,,,228,,,,0.0,,,,49,,,,,,,-9.5,,0.2,,0.8,
2018-01-01 10:40:00,311.0,309.0,,,,3.8,3.6,,10.1,,0,,0,,,194,,,,,,,375,,,,0.0,,,,60,,,,,,,-9.6,,0.9,,0.9,
2018-01-01 11:40:00,292.0,318.0,,,,4.0,2.6,,10.6,,0,,0,,,193,,,,,,,401,,,,0.0,,,,60,,,,,,,-10.6,,1.1,,0.6,
2018-01-01 12:40:00,270.0,281.0,,,,3.5,3.7,,9.0,,0,,0,,,192,,,,,,,374,,,,0.0,,,,60,,,,,,,-10.9,,1.2,,1.4,
2018-01-01 13:40:00,293.0,291.0,,,,3.9,3.8,,8.7,,0,,0,,,192,,,,,,,265,,,,0.0,,,,54,,,,,,,-12.6,,1.2,,0.9,
2018-01-01 14:40:00,311.0,238.0,,,,2.9,1.9,,8.2,,0,,0,,,200,,,,,,,157,,,,0.0,,,,58,,,,,,,-10.3,,1.2,,0.9,
2018-01-01 15:40:00,315.0,204.0,,,,0.8,0.4,,2.8,,0,,0,,,207,,,,,,,37,,,,0.0,,,,33,,,,,,,-10.1,,0.9,,0.7,
2018-01-01 16:40:00,267.0,262.0,,,,2.3,1.1,,5.3,,0,,0,,,205,,,,,,,0,,,,0.0,,,,0,,,,,,,-10.7,,0.0,,-0.3,
2018-01-01 17:40:00,158.0,117.0,,,,1.6,1.1,,3.4,,0,,0,,,211,,,,,,,0,,,,0.0,,,,0,,,,,,,-10.7,,-0.2,,-0.1,
2018-01-01 18:40:00,180.0,218.0,,,,1.9,1.5,,3.3,,0,,0,,,261,,,,,,,0,,,,0.0,,,,0,,,,,,,-10.2,,-0.1,,0.0,
2018-01-01 19:40:00,241.0,34.0,,,,1.6,0.9,,3.9,,0,,0,,,248,,,,,,,0,,,,0.0,,,,0,,,,,,,-10.1,,-0.3,,-0.3,
2018-01-01 20:40:00,47.0,42.0,,,,2.3,3.9,,5.4,,0,,0,,,246,,,,,,,0,,,,0.0,,,,0,,,,,,,-10.3,,-0.3,,-0.5,
2018-01-01 21:40:00,51.0,57.0,,,,1.9,0.8,,4.7,,0,,0,,,251,,,,,,,0,,,,0.0,,,,0,,,,,,,-11.8,,0.2,,0.3,
2018-01-01 22:40:00,18.0,28.0,,,,1.3,1.7,,4.4,,0,,0,,,268,,,,,,,0,,,,0.0,,,,8,,,,,,,-9.1,,0.0,,-0.3,
2018-01-01 23:40:00,348.0,11.0,,,,4.5,4.7,,10.7,,0,,0,,,280,,,,,,,0,,,,0.0,,,,8,,,,,,,-4.8,,-1.2,,-2.3,
2018-01-02 00:40:00,348.0,11.0,,,0.6,4.1,2.4,,14.3,,0,,0,,,201,,,,,,,0,,,,0.0,,,,9,,,,,,,-9.9,-4.5,-1.3,,-1.3,-0.8
2018-01-02 01:40:00,356.0,357.0,,,,3.9,2.7,,14.3,,0,,0,,,192,,,,,,,0,,,,0.0,,,,0,,,,,,,-11.3,,-1.6,,-1.6,
2018-01-02 02:40:00,353.0,344.0,,,,4.0,4.2,,15.2,,0,,0,,,190,,,,,,,0,,,,0.0,,,,0,,,,,,,-12.8,,-1.9,,-1.7,
2018-01-02 03:40:00,8.0,31.0,,,,3.8,2.3,,10.6,,0,,0,,,203,,,,,,,0,,,,0.0,,,,0,,,,,,,-11.3,,-2.2,,-2.7,
2018-01-02 04:40:00,3.0,25.0,,,,4.4,4.2,,11.0,,0,,0,,,191,,,,,,,0,,,,0.0,,,,1,,,,,,,-9.7,,-3.2,,-2.8,
2018-01-02 05:40:00,336.0,315.0,,,,3.8,4.0,,9.2,,0,,0,,,237,,,,,,,0,,,,0.0,,,,0,,,,,,,-8.9,,-3.3,,-3.3,
2018-01-02 06:40:00,334.0,320.0,,,,3.6,3.0,,7.3,,0,,0,,,241,,,,,,,0,,,,0.0,,,,0,,,,,,,-6.9,,-4.0,,-4.4,
2018-01-02 07:40:00,358.0,26.0,,,,3.3,3.9,,6.1,,0,,0,,,211,,,,,,,29,,,,0.0,,,,17,,,,,,,-8.3,,-4.0,,-3.5,
2018-01-02 08:40:00,353.0,324.0,,,,4.4,3.4,,8.6,,0,,0,,,195,,,,,,,178,,,,0.0,,,,60,,,,,,,-7.6,,-3.1,,-2.4,
2018-01-02 09:40:00,306.0,286.0,,,,3.7,1.7,,14.6,,0,,0,,,200,,,,,,,294,,,,0.0,,,,60,,,,,,,-8.5,,-2.0,,-1.6,
2018-01-02 10:40:00,317.0,327.0,,,,3.9,2.4,,10.4,,0,,0,,,191,,,,,,,372,,,,0.0,,,,60,,,,,,,-10.1,,-2.2,,-1.7,
2018-01-02 11:40:00,276.0,260.0,,,,3.6,2.5,,11.0,,0,,0,,,191,,,,,,,391,,,,0.0,,,,60,,,,,,,-10.6,,-1.6,,-1.7,
2018-01-02 12:40:00,272.0,256.0,,,,4.0,3.5,,11.1,,0,,0,,,193,,,,,,,358,,,,0.0,,,,60,,,,,,,-10.8,,-1.3,,-1.1,
2018-01-02 13:40:00,246.0,275.0,,,,3.6,2.2,,8.9,,0,,0,,,189,,,,,,,299,,,,0.0,,,,60,,,,,,,-12.0,,-1.2,,-1.2,
2018-01-02 14:40:00,282.0,292.0,,,,3.7,3.0,,9.3,,0,,0,,,203,,,,,,,143,,,,0.0,,,,34,,,,,,,-13.8,,-1.4,,-1.8,
2018-01-02 15:40:00,285.0,309.0,,,,3.3,3.8,,7.5,,0,,0,,,234,,,,,,,36,,,,0.0,,,,10,,,,,,,-16.4,,-1.7,,-2.1,
2018-01-02 16:40:00,349.0,291.0,,,,3.1,1.7,,8.3,,0,,0,,,205,,,,,,,0,,,,0.0,,,,0,,,,,,,-17.6,,-2.0,,-1.8,
2018-01-02 17:40:00,319.0,316.0,,,,4.6,6.2,,9.7,,0,,0,,,215,,,,,,,0,,,,0.0,,,,0,,,,,,,-15.2,,-2.2,,-2.2,
2018-01-02 18:40:00,329.0,346.0,,,,5.3,5.9,,10.3,,0,,0,,,248,,,,,,,0,,,,0.0,,,,1,,,,,,,-13.6,,-2.2,,-2.2,
2018-01-02 19:40:00,348.0,312.0,,,,4.3,2.9,,7.3,,0,,0,,,236,,,,,,,0,,,,0.0,,,,0,,,,,,,-13.0,,-2.0,,-2.0,
2018-01-02 20:40:00,327.0,49.0,,,,2.6,1.1,,5.1,,0,,0,,,256,,,,,,,0,,,,0.0,,,,1,,,,,,,-14.4,,-1.9,,-1.5,
2018-01-02 21:40:00,315.0,281.0,,,,1.0,0.5,,2.7,,0,,0,,,289,,,,,,,0,,,,0.0,,,,3,,,,,,,-9.7,,-1.1,,-0.8,
2018-01-02 22:40:00,360.0,218.0,,,,1.0,1.2,,3.6,,0,,0,,,294,,,,,,,0,,,,0.0,,,,2,,,,,,,-12.5,,-1.6,,-2.1,
2018-01-02 23:40:00,42.0,54.0,,,,2.1,1.4,,4.6,,0,,0,,,294,,,,,,,0,,,,0.0,,,,0,,,,,,,-6.8,,-2.9,,-3.3,
2018-01-03 00:40:00,225.0,252.0,,,0.1,1.2,1.7,,3.1,,0,,0,,,270,,,,,,,0,,,,0.0,,,,2,,,,,,,-8.1,-4.0,-2.3,,-3.1,-0.1
2018-01-03 01:40:00,45.0,63.0,,,,1.4,3.0,,4.7,,0,,0,,,273,,,,,,,0,,,,0.0,,,,1,,,,,,,-5.3,,-2.1,,-2.4,
2018-01-03 02:40:00,58.0,58.0,,,,2.8,3.3,,4.7,,0,,0,,,251,,,,,,,0,,,,0.0,,,,1,,,,,,,-8.2,,-2.0,,-1.7,
2018-01-03 03:40:00,66.0,119.0,,,,2.5,1.1,,4.2,,0,,0,,,242,,,,,,,0,,,,0.0,,,,2,,,,,,,-11.2,,-1.4,,-1.2,
2018-01-03 04:40:00,54.0,63.0,,,,2.6,2.8,,4.2,,0,,0,,,237,,,,,,,0,,,,0.0,,,,0,,,,,,,-13.0,,-1.2,,-1.3,
2018-01-03 05:40:00,65.0,72.0,,,,4.1,4.2,,6.0,,0,,0,,,251,,,,,,,0,,,,0.0,,,,0,,,,,,,-10.7,,-1.4,,-1.4,
2018-01-03 06:40:00,107.0,128.0,,,,2.5,1.9,,6.3,,0,,0,,,270,,,,,,,0,,,,0.0,,,,0,,,,,,,-11.0,,-1.5,,-1.5,
2018-01-03 07:40:00,75.0,66.0,,,,4.4,5.3,,7.9,,0,,0,,,287,,,,,,,13,,,,0.0,,,,9,,,,,,,-11.1,,-1.4,,-1.4,
2018-01-03 08:40:00,61.0,56.0,,,,4.9,4.5,,8.9,,0,,0,,,295,,,,,,,30,,,,0.0,,,,0,,,,,,,-10.5,,-1.6,,-1.5,
2018-01-03 09:40:00,68.0,73.0,,,,3.9,2.8,,9.9,,0,,0,,,284,,,,,,,82,,,,0.0,,,,0,,,,,,,-10.4,,-1.5,,-1.5,
2018-01-03 10:40:00,73.0,65.0,,,,2.9,3.4,,9.9,,0,,0,,,296,,,,,,,50,,,,0.0,,,,0,,,,,,,-9.4,,-1.8,,-2.0,
2018-01-03 11:40:00,47.0,45.0,,,,4.8,4.5,,11.4,,0,,0,,,296,,,,,,,60,,,,0.0,,,,0,,,,,,,-8.5,,-2.4,,-2.5,
2018-01-03 12:40:00,51.0,194.0,,,,2.9,0.3,,7.5,,0,,0,,,294,,,,,,,57,,,,0.0,,,,0,,,,,,,-6.4,,-2.8,,-3.0,
2018-01-03 13:40:00,347.0,330.0,,,,4.4,1.3,,14.3,,0,,0,,,306,,,,,,,11,,,,1.7,,,,0,,,,,,,-2.4,,-1.5,,-0.9,
2018-01-03 14:40:00,334.0,243.0,,,,5.2,1.1,,23.4,,0,,0,,,294,,,,,,,19,,,,0.1,,,,0,,,,,,,-5.2,,-0.7,,-1.1,
2018-01-03 15:40:00,2.0,342.0,,,,3.6,1.7,,15.4,,0,,0,,,295,,,,,,,2,,,,0.2,,,,0,,,,,,,-4.8,,-1.9,,-2.1,
2018-01-03 16:40:00,341.0,335.0,,,,3.4,1.2,,12.8,,0,,0,,,285,,,,,,,0,,,,0.0,,,,0,,,,,,,-5.5,,-1.5,,-2.1,
2018-01-03 17:40:00,360.0,19.0,,,,3.8,6.4,,8.9,,0,,0,,,287,,,,,,,0,,,,0.0,,,,0,,,,,,,-6.8,,-2.1,,-1.7,
2018-01-03 18:40:00,2.0,343.0,,,,5.8,3.8,,12.3,,0,,0,,,271,,,,,,,0,,,,0.0,,,,0,,,,,,,-6.9,,-1.9,,-1.8,
2018-01-03 19:40:00,345.0,351.0,,,,4.0,2.8,,13.6,,0,,0,,,258,,,,,,,0,,,,0.0,,,,1,,,,,,,-8.2,,-1.6,,-1.5,
2018-01-03 20:40:00,360.0,15.0,,,,4.0,3.2,,9.1,,0,,0,,,269,,,,,,,0,,,,0.0,,,,0,,,,,,,-8.4,,-1.8,,-1.9,
2018-01-03 21:40:00,357.0,316.0,,,,2.6,2.0,,6.6,,0,,0,,,286,,,,,,,0,,,,0.0,,,,0,,,,,,,-6.5,,-2.2,,-2.7,
2018-01-03 22:40:00,360.0,68.0,,,,1.2,2.4,,3.0,,0,,0,,,291,,,,,,,0,,,,0.4,,,,0,,,,,,,-4.1,,-3.3,,-3.8,
2018-01-03 23:40:00,113.0,165.0,,,,1.0,0.7,,2.0,,0,,0,,,292,,,,,,,0,,,,0.7,,,,0,,,,,,,-4.0,,-3.8,,-3.1,
2018-01-04 00:40:00,219.0,225.0,,,0.1,1.3,1.6,,2.2,,0,,0,,,295,,,,,,,0,,,,0.9,,,,0,,,,,,,-3.5,-3.2,-3.1,,-3.0,6.1
2018-01-04 01:40:00,225.0,216.0,,,,1.4,0.6,,2.3,,0,,0,,,301,,,,,,,0,,,,0.6,,,,0,,,,,,,-3.3,,-2.8,,-3.0,
2018-01-04 02:40:00,214.0,204.0,,,,0.4,0.1,,1.0,,0,,0,,,303,,,,,,,0,,,,0.8,,,,0,,,,,,,-3.1,,-2.6,,-2.8,
2018-01-04 03:40:00,302.0,318.0,,,,1.6,1.9,,2.4,,0,,0,,,297,,,,,,,0,,,,0.9,,,,0,,,,,,,-2.9,,-2.4,,-2.7,
2018-01-04 04:40:00,342.0,139.0,,,,1.3,0.3,,2.9,,0,,0,,,299,,,,,,,0,,,,0.7,,,,0,,,,,,,-3.0,,-2.4,,-2.3,
2018-01-04 05:40:00,51.0,335.0,,,,0.8,0.5,,2.0,,0,,0,,,303,,,,,,,0,,,,1.0,,,,0,,,,,,,-2.1,,-1.8,,-1.1,
2018-01-04 06:40:00,301.0,306.0,,,,0.6,1.2,,1.3,,0,,0,,,305,,,,,,,0,,,,1.2,,,,0,,,,,,,-1.6,,-1.0,,-0.9,
2018-01-04 07:40:00,17.0,31.0,,,,1.3,1.1,,2.7,,0,,0,,,305,,,,,,,6,,,,0.2,,,,0,,,,,,,-1.4,,-0.8,,-0.4,
2018-01-04 08:40:00,353.0,32.0,,,,1.0,0.6,,2.7,,0,,0,,,315,,,,,,,18,,,,0.7,,,,0,,,,,,,-0.5,,0.3,,-0.1,
2018-01-04 09:40:00,331.0,316.0,,,,1.4,1.8,,2.9,,0,,0,,,319,,,,,,,35,,,,1.2,,,,0,,,,,,,0.3,,0.9,,1.6,
2018-01-04 10:40:00,299.0,304.0,,,,3.7,3.7,,9.2,,0,,0,,,320,,,,,,,84,,,,0.7,,,,0,,,,,,,0.8,,2.3,,3.0,
2018-01-04 11:40:00,334.0,323.0,,,,3.2,4.8,,7.3,,0,,0,,,323,,,,,,,148,,,,1.5,,,,0,,,,,,,1.3,,2.5,,2.5,
2018-01-04 12:40:00,352.0,359.0,,,,3.7,2.6,,11.7,,0,,0,,,322,,,,,,,186,,,,0.8,,,,0,,,,,,,1.3,,2.4,,2.6,
2018-01-04 13:40:00,340.0,324.0,,,,4.7,2.4,,13.8,,0,,0,,,292,,,,,,,257,,,,0.2,,,,36,,,,,,,1.7,,3.6,,3.7,
2018-01-04 14:40:00,342.0,360.0,,,,2.9,1.7,,10.2,,0,,0,,,245,,,,,,,154,,,,0.0,,,,46,,,,,,,1.1,,4.0,,3.9,
2018-01-04 15:40:00,339.0,298.0,,,,3.4,3.8,,10.6,,0,,0,,,246,,,,,,,25,,,,0.0,,,,3,,,,,,,1.1,,3.9,,4.0,
2018-01-04 16:40:00,333.0,242.0,,,,2.8,2.2,,8.5,,0,,0,,,253,,,,,,,0,,,,0.0,,,,0,,,,,,,0.5,,3.4,,0.9,
2018-01-04 17:40:00,217.0,218.0,,,,4.4,4.1,,8.2,,0,,0,,,248,,,,,,,0,,,,0.0,,,,0,,,,,,,0.6,,2.8,,3.5,
2018-01-04 18:40:00,202.0,195.0,,,,3.6,3.0,,5.9,,0,,0,,,240,,,,,,,0,,,,0.0,,,,0,,,,,,,0.6,,4.0,,3.6,
2018-01-04 19:40:00,168.0,135.0,,,,3.1,0.9,,6.5,,0,,0,,,240,,,,,,,0,,,,0.0,,,,0,,,,,,,0.3,,4.6,,5.7,
2018-01-04 20:40:00,50.0,360.0,,,,1.8,0.8,,3.9,,0,,0,,,249,,,,,,,0,,,,0.0,,,,0,,,,,,,0.4,,5.1,,3.8,
2018-01-04 21:40:00,43.0,47.0,,,,1.9,3.9,,4.9,,0,,0,,,237,,,,,,,0,,,,0.0,,,,0,,,,,,,0.7,,3.8,,3.5,
2018-01-04 22:40:00,48.0,169.0,,,,1.9,0.7,,5.7,,0,,0,,,236,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.4,,4.4,,5.1,
2018-01-04 23:40:00,284.0,6.0,,,,1.2,0.7,,4.3,,0,,0,,,236,,,,,,,0,,,,0.0,,,,0,,,,,,,0.1,,4.6,,4.1,
2018-01-05 00:40:00,345.0,21.0,,,0.1,1.6,1.3,,3.5,,0,,0,,,234,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.3,-0.4,5.0,,4.5,7.0
2018-01-05 01:40:00,42.0,40.0,,,,1.6,2.4,,3.6,,0,,0,,,231,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.5,,4.4,,4.3,
2018-01-05 02:40:00,43.0,37.0,,,,2.1,1.1,,4.9,,0,,0,,,230,,,,,,,0,,,,0.0,,,,0,,,,,,,-1.5,,5.1,,5.4,
2018-01-05 03:40:00,261.0,358.0,,,,1.3,1.7,,3.2,,0,,0,,,232,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.2,,6.3,,6.4,
2018-01-05 04:40:00,47.0,45.0,,,,2.3,1.8,,5.2,,0,,0,,,230,,,,,,,0,,,,0.0,,,,0,,,,,,,-1.8,,5.0,,5.6,
2018-01-05 05:40:00,90.0,44.0,,,,1.2,2.0,,3.4,,0,,0,,,230,,,,,,,0,,,,0.0,,,,0,,,,,,,-1.5,,4.9,,5.1,
2018-01-05 06:40:00,113.0,220.0,,,,1.6,0.9,,3.2,,0,,0,,,231,,,,,,,0,,,,0.0,,,,0,,,,,,,-2.8,,5.2,,5.3,
2018-01-05 07:40:00,117.0,41.0,,,,1.2,1.3,,3.8,,0,,0,,,258,,,,,,,36,,,,0.0,,,,38,,,,,,,-2.0,,5.1,,5.5,
2018-01-05 08:40:00,68.0,86.0,,,,1.4,1.1,,3.1,,0,,0,,,280,,,,,,,149,,,,0.0,,,,42,,,,,,,-0.8,,5.1,,3.9,
2018-01-05 09:40:00,66.0,77.0,,,,1.7,2.3,,3.7,,0,,0,,,294,,,,,,,263,,,,0.0,,,,19,,,,,,,0.3,,4.4,,4.3,
2018-01-05 10:40:00,194.0,228.0,,,,2.8,4.7,,5.8,,0,,0,,,254,,,,,,,364,,,,0.0,,,,51,,,,,,,-0.2,,2.1,,0.9,
2018-01-05 11:40:00,221.0,224.0,,,,3.5,3.2,,6.4,,0,,0,,,288,,,,,,,241,,,,0.0,,,,4,,,,,,,-0.2,,-0.1,,-0.2,
2018-01-05 12:40:00,351.0,46.0,,,,1.9,2.9,,4.8,,0,,0,,,241,,,,,,,353,,,,0.0,,,,57,,,,,,,0.2,,1.9,,1.6,
2018-01-05 13:40:00,65.0,63.0,,,,3.1,5.5,,7.2,,0,,0,,,291,,,,,,,230,,,,0.0,,,,11,,,,,,,0.3,,0.6,,0.3,
2018-01-05 14:40:00,71.0,92.0,,,,2.9,1.7,,6.6,,0,,0,,,312,,,,,,,57,,,,0.0,,,,0,,,,,,,0.6,,0.5,,0.8,
2018-01-05 15:40:00,68.0,59.0,,,,1.7,2.3,,2.9,,0,,0,,,313,,,,,,,11,,,,0.0,,,,0,,,,,,,0.7,,1.0,,1.1,
2018-01-05 16:40:00,107.0,171.0,,,,1.8,1.6,,2.8,,0,,0,,,314,,,,,,,0,,,,0.0,,,,0,,,,,,,1.0,,1.3,,1.4,
2018-01-05 17:40:00,117.0,142.0,,,,1.6,1.4,,2.8,,0,,0,,,318,,,,,,,0,,,,0.0,,,,0,,,,,,,0.8,,1.0,,0.9,
2018-01-05 18:40:00,183.0,189.0,,,,2.3,2.5,,3.3,,0,,0,,,315,,,,,,,0,,,,0.1,,,,0,,,,,,,1.0,,1.1,,1.0,
2018-01-05 19:40:00,209.0,254.0,,,,1.3,0.6,,2.6,,0,,0,,,319,,,,,,,0,,,,0.5,,,,0,,,,,,,0.4,,0.8,,0.5,
2018-01-05 20:40:00,121.0,94.0,,,,0.8,0.7,,1.8,,0,,0,,,318,,,,,,,0,,,,0.4,,,,0,,,,,,,0.4,,0.6,,0.4,
2018-01-05 21:40:00,106.0,198.0,,,,1.4,2.1,,2.9,,0,,0,,,317,,,,,,,0,,,,0.2,,,,0,,,,,,,0.3,,0.5,,0.6,
2018-01-05 22:40:00,180.0,156.0,,,,1.5,1.2,,2.8,,0,,0,,,316,,,,,,,0,,,,0.2,,,,0,,,,,,,0.4,,0.7,,0.6,
2018-01-05 23:40:00,188.0,191.0,,,,2.2,2.3,,3.5,,0,,0,,,320,,,,,,,0,,,,0.3,,,,0,,,,,,,0.3,,0.5,,0.3,
2018-01-06 00:40:00,198.0,207.0,,,0.0,2.0,1.4,,3.8,,0,,0,,,315,,,,,,,0,,,,0.3,,,,0,,,,,,,-0.3,-0.5,0.1,,-0.2,1.6
2018-01-06 01:40:00,150.0,74.0,,,,1.3,2.1,,2.5,,0,,0,,,313,,,,,,,0,,,,0.6,,,,0,,,,,,,-0.5,,-0.4,,-0.5,
2018-01-06 02:40:00,73.0,83.0,,,,3.5,3.1,,5.7,,0,,0,,,315,,,,,,,0,,,,0.2,,,,0,,,,,,,0.0,,-0.1,,0.0,
2018-01-06 03:40:00,83.0,74.0,,,,3.3,4.5,,5.6,,0,,0,,,315,,,,,,,0,,,,0.0,,,,0,,,,,,,0.1,,0.1,,0.1,
2018-01-06 04:40:00,83.0,90.0,,,,3.3,3.5,,5.1,,0,,0,,,314,,,,,,,0,,,,0.1,,,,0,,,,,,,0.1,,0.0,,0.1,
2018-01-06 05:40:00,93.0,97.0,,,,3.7,3.5,,5.6,,0,,0,,,311,,,,,,,0,,,,0.0,,,,0,,,,,,,0.0,,0.0,,0.0,
2018-01-06 06:40:00,88.0,77.0,,,,3.3,3.5,,4.7,,0,,0,,,311,,,,,,,0,,,,0.0,,,,0,,,,,,,0.0,,0.0,,0.0,
2018-01-06 07:40:00,90.0,88.0,,,,2.5,1.9,,4.3,,0,,0,,,311,,,,,,,6,,,,0.0,,,,0,,,,,,,-0.1,,0.0,,-0.1,
2018-01-06 08:40:00,86.0,78.0,,,,1.7,1.7,,3.3,,0,,0,,,312,,,,,,,23,,,,0.0,,,,0,,,,,,,0.1,,-0.1,,0.1,
2018-01-06 09:40:00,135.0,179.0,,,,2.2,2.3,,4.3,,0,,0,,,311,,,,,,,40,,,,0.0,,,,0,,,,,,,0.3,,0.1,,0.3,
2018-01-06 10:40:00,184.0,199.0,,,,1.5,2.4,,3.4,,0,,0,,,310,,,,,,,75,,,,0.1,,,,0,,,,,,,0.0,,0.3,,0.3,
2018-01-06 11:40:00,199.0,215.0,,,,2.2,2.7,,4.0,,0,,0,,,311,,,,,,,75,,,,0.0,,,,0,,,,,,,0.0,,0.3,,0.2,
2018-01-06 12:40:00,214.0,212.0,,,,2.1,1.6,,3.8,,0,,0,,,311,,,,,,,81,,,,0.2,,,,0,,,,,,,0.1,,0.1,,0.1,
2018-01-06 13:40:00,117.0,68.0,,,,1.1,1.5,,2.9,,0,,0,,,310,,,,,,,54,,,,0.0,,,,0,,,,,,,0.1,,0.3,,0.1,
2018-01-06 14:40:00,69.0,63.0,,,,2.0,1.9,,3.3,,0,,0,,,312,,,,,,,32,,,,0.2,,,,0,,,,,,,0.2,,0.1,,0.2,
2018-01-06 15:40:00,96.0,195.0,,,,1.5,1.2,,2.8,,0,,0,,,313,,,,,,,4,,,,0.2,,,,0,,,,,,,-0.1,,0.2,,0.1,
2018-01-06 16:40:00,186.0,109.0,,,,1.1,1.1,,1.6,,0,,0,,,313,,,,,,,0,,,,0.1,,,,0,,,,,,,0.3,,0.3,,0.3,
2018-01-06 17:40:00,83.0,79.0,,,,1.6,1.9,,3.2,,0,,0,,,314,,,,,,,0,,,,0.1,,,,0,,,,,,,0.6,,0.4,,0.6,
2018-01-06 18:40:00,110.0,107.0,,,,1.3,0.7,,3.0,,0,,0,,,320,,,,,,,0,,,,0.5,,,,0,,,,,,,0.4,,0.5,,0.4,
2018-01-06 19:40:00,146.0,87.0,,,,1.1,1.2,,2.0,,0,,0,,,316,,,,,,,0,,,,0.4,,,,0,,,,,,,0.2,,0.4,,0.2,
2018-01-06 20:40:00,99.0,74.0,,,,1.6,1.9,,3.8,,0,,0,,,315,,,,,,,0,,,,0.0,,,,0,,,,,,,0.9,,0.7,,0.9,
2018-01-06 21:40:00,101.0,108.0,,,,2.2,2.6,,3.7,,0,,0,,,323,,,,,,,0,,,,0.5,,,,0,,,,,,,1.2,,1.1,,1.3,
2018-01-06 22:40:00,135.0,151.0,,,,2.4,2.5,,3.6,,0,,0,,,322,,,,,,,0,,,,0.6,,,,0,,,,,,,1.2,,1.2,,1.2,
2018-01-06 23:40:00,145.0,64.0,,,,1.6,1.7,,3.0,,0,,0,,,321,,,,,,,0,,,,0.7,,,,0,,,,,,,0.6,,0.9,,0.6,
2018-01-07 00:40:00,53.0,55.0,,,0.0,4.3,4.9,,6.1,,0,,0,,,320,,,,,,,0,,,,0.3,,,,0,,,,,,,0.5,0.0,0.5,,0.5,2.8
2018-01-07 01:40:00,71.0,53.0,,,,2.2,1.1,,5.6,,0,,0,,,319,,,,,,,0,,,,1.1,,,,0,,,,,,,0.0,,0.4,,0.0,
2018-01-07 02:40:00,141.0,118.0,,,,1.7,2.6,,5.6,,0,,0,,,322,,,,,,,0,,,,0.7,,,,0,,,,,,,0.8,,0.7,,0.8,
2018-01-07 03:40:00,75.0,66.0,,,,4.6,4.7,,6.6,,0,,0,,,321,,,,,,,0,,,,0.0,,,,0,,,,,,,1.4,,1.3,,1.4,
2018-01-07 04:40:00,77.0,78.0,,,,4.6,4.0,,7.3,,0,,0,,,319,,,,,,,0,,,,0.3,,,,0,,,,,,,1.1,,1.1,,1.3,
2018-01-07 05:40:00,101.0,91.0,,,,4.3,4.3,,6.1,,0,,0,,,316,,,,,,,0,,,,0.2,,,,0,,,,,,,1.2,,1.4,,1.4,
2018-01-07 06:40:00,119.0,103.0,,,,4.5,5.0,,8.0,,0,,0,,,318,,,,,,,0,,,,1.3,,,,0,,,,,,,0.5,,1.1,,0.8,
2018-01-07 07:40:00,84.0,83.0,,,,6.4,6.9,,9.4,,0,,0,,,319,,,,,,,1,,,,0.4,,,,0,,,,,,,1.3,,1.2,,1.4,
2018-01-07 08:40:00,104.0,113.0,,,,7.4,8.0,,11.8,,0,,0,,,320,,,,,,,10,,,,0.1,,,,0,,,,,,,1.7,,1.5,,1.7,
