,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,163,174.0,,,,6.0,4.0,,9.3,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-4.2,-5.1,-3.0,,-3.1,-2.2
2018-01-01 01:40:00,178,104.0,,,,3.2,2.7,,5.1,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-4.5,,-3.1,,-3.3,
2018-01-01 02:40:00,97,95.0,,,,4.1,3.2,,5.5,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-3.7,,-2.9,,-2.9,
2018-01-01 03:40:00,70,59.0,,,,1.6,0.7,,4.3,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-4.2,,-2.8,,-3.2,
2018-01-01 04:40:00,311,329.0,,,,3.8,6.0,,8.9,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-3.0,,-3.2,,-3.0,
2018-01-01 05:40:00,325,323.0,,,,7.9,8.1,,11.1,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-6.0,,-3.7,,-3.9,
2018-01-01 06:40:00,325,330.0,,,,8.0,8.0,,11.4,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-8.7,,-3.8,,-3.9,
2018-01-01 07:40:00,323,317.0,,,,7.3,6.8,,11.1,,0,,0,,,,,,,,,,10,,,,,,,,0.0,,,,,,,-14.0,,-3.9,,-3.7,
2018-01-01 08:40:00,325,322.0,,,,9.4,10.5,,13.5,,0,,0,,,,,,,,,,66,,,,,,,,0.0,,,,,,,-13.5,,-3.8,,-3.8,
2018-01-01 09:40:00,326,322.0,,,,10.5,10.7,,16.5,,0,,0,,,,,,,,,,262,,,,,,,,40.0,,,,,,,-12.3,,-4.0,,-4.1,
2018-01-01 10:40:00,323,325.0,,,,9.8,7.8,,16.3,,0,,0,,,,,,,,,,337,,,,,,,,52.0,,,,,,,-12.5,,-4.2,,-4.2,
2018-01-01 11:40:00,321,313.0,,,,6.2,5.3,,11.7,,0,,0,,,,,,,,,,416,,,,,,,,60.0,,,,,,,-13.8,,-3.8,,-3.6,
2018-01-01 12:40:00,314,312.0,,,,5.0,5.4,,8.2,,0,,0,,,,,,,,,,385,,,,,,,,60.0,,,,,,,-15.5,,-3.3,,-3.2,
2018-01-01 13:40:00,316,308.0,,,,4.4,4.0,,7.6,,0,,0,,,,,,,,,,282,,,,,,,,60.0,,,,,,,-17.9,,-3.0,,-2.9,
2018-01-01 14:40:00,272,303.0,,,,2.9,2.0,,6.8,,0,,0,,,,,,,,,,175,,,,,,,,57.0,,,,,,,-14.1,,-3.0,,-3.5,
2018-01-01 15:40:00,23,304.0,,,,1.9,0.8,,4.1,,0,,0,,,,,,,,,,29,,,,,,,,15.0,,,,,,,-15.6,,-3.5,,-3.1,
2018-01-01 16:40:00,252,359.0,,,,2.0,0.5,,6.1,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-15.3,,-2.9,,-3.3,
2018-01-01 17:40:00,106,136.0,,,,2.5,3.9,,6.1,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-14.5,,-2.8,,-2.9,
2018-01-01 18:40:00,163,166.0,,,,5.6,6.1,,9.1,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-14.4,,-4.1,,-4.6,
2018-01-01 19:40:00,153,138.0,,,,5.4,4.4,,8.2,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-15.9,,-3.9,,-3.4,
2018-01-01 20:40:00,83,49.0,,,,3.2,2.3,,7.6,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-14.9,,-3.9,,-3.8,
2018-01-01 21:40:00,315,311.0,,,,1.9,2.8,,5.0,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-14.2,,-3.6,,-3.8,
2018-01-01 22:40:00,303,321.0,,,,3.2,2.9,,5.8,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-6.7,,-4.7,,-4.8,
2018-01-01 23:40:00,322,326.0,,,,7.4,7.1,,13.9,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-9.2,,-4.9,,-4.9,
2018-01-02 00:40:00,324,326.0,,,,8.1,8.8,,12.9,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-10.4,-8.1,-5.5,,-5.9,-2.9
2018-01-02 01:40:00,328,322.0,,,,9.7,9.7,,15.2,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-12.0,,-6.0,,-5.9,
2018-01-02 02:40:00,323,318.0,,,,8.4,7.2,,14.3,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-11.8,,-6.3,,-6.7,
2018-01-02 03:40:00,321,321.0,,,,10.9,10.8,,17.3,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-12.5,,-6.6,,-6.5,
2018-01-02 04:40:00,323,331.0,,,,8.9,8.6,,14.7,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-10.8,,-7.1,,-7.4,
2018-01-02 05:40:00,325,319.0,,,,7.8,7.0,,13.5,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-9.6,,-7.4,,-7.3,
2018-01-02 06:40:00,324,328.0,,,,7.8,6.2,,12.8,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-8.4,,-7.5,,-7.6,
2018-01-02 07:40:00,324,324.0,,,,7.9,9.3,,14.7,,0,,0,,,,,,,,,,7,,,,,,,,0.0,,,,,,,-9.7,,-7.4,,-7.5,
2018-01-02 08:40:00,321,315.0,,,,7.9,8.3,,14.4,,0,,0,,,,,,,,,,107,,,,,,,,10.0,,,,,,,-12.1,,-7.2,,-7.2,
2018-01-02 09:40:00,318,322.0,,,,8.4,8.6,,14.8,,0,,0,,,,,,,,,,242,,,,,,,,41.0,,,,,,,-13.5,,-7.3,,-7.1,
2018-01-02 10:40:00,326,325.0,,,,7.8,7.3,,14.8,,0,,0,,,,,,,,,,341,,,,,,,,51.0,,,,,,,-12.1,,-7.1,,-7.3,
2018-01-02 11:40:00,311,304.0,,,,8.2,6.9,,12.8,,0,,0,,,,,,,,,,411,,,,,,,,60.0,,,,,,,-12.7,,-7.0,,-6.8,
2018-01-02 12:40:00,306,312.0,,,,8.0,7.7,,13.8,,0,,0,,,,,,,,,,370,,,,,,,,60.0,,,,,,,-14.9,,-6.5,,-6.7,
2018-01-02 13:40:00,322,328.0,,,,7.6,7.7,,13.3,,0,,0,,,,,,,,,,293,,,,,,,,60.0,,,,,,,-16.4,,-6.5,,-6.5,
2018-01-02 14:40:00,337,345.0,,,,5.8,6.5,,8.9,,0,,0,,,,,,,,,,123,,,,,,,,41.0,,,,,,,-16.4,,-6.9,,-7.1,
2018-01-02 15:40:00,342,346.0,,,,7.7,7.8,,10.8,,0,,0,,,,,,,,,,13,,,,,,,,0.0,,,,,,,-18.9,,-6.8,,-6.7,
2018-01-02 16:40:00,351,353.0,,,,6.9,6.6,,9.7,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-20.5,,-6.5,,-6.3,
2018-01-02 17:40:00,338,323.0,,,,6.0,6.3,,8.0,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-19.8,,-6.0,,-5.8,
2018-01-02 18:40:00,325,320.0,,,,6.5,5.6,,12.2,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-15.8,,-6.0,,-6.2,
2018-01-02 19:40:00,334,330.0,,,,5.0,3.9,,8.7,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-9.8,,-6.2,,-5.4,
2018-01-02 20:40:00,356,357.0,,,,4.5,4.6,,6.8,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-7.1,,-5.3,,-4.7,
2018-01-02 21:40:00,36,123.0,,,,2.8,3.2,,4.2,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-5.6,,-4.3,,-4.7,
2018-01-02 22:40:00,155,131.0,,,,3.7,1.6,,5.8,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-3.9,,-4.0,,-3.8,
2018-01-02 23:40:00,43,42.0,,,,2.5,2.3,,3.8,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-5.2,,-3.4,,-4.1,
2018-01-03 00:40:00,32,13.0,,,,1.7,2.4,,3.8,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-3.4,-7.0,-2.7,,-2.7,0.5
2018-01-03 01:40:00,333,28.0,,,,0.7,0.5,,2.0,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-2.1,,-2.0,,-1.3,
2018-01-03 02:40:00,80,84.0,,,,1.2,2.1,,3.5,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-2.1,,-1.3,,-1.3,
2018-01-03 03:40:00,80,14.0,,,,1.6,1.5,,3.8,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-3.1,,-0.5,,-0.2,
2018-01-03 04:40:00,355,17.0,,,,2.5,3.3,,4.5,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-2.5,,-0.3,,-0.4,
2018-01-03 05:40:00,20,162.0,,,,2.2,1.1,,4.6,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-3.1,,-0.3,,0.3,
2018-01-03 06:40:00,100,124.0,,,,4.9,5.6,,7.7,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-3.0,,-0.1,,0.1,
2018-01-03 07:40:00,136,135.0,,,,6.4,8.5,,10.7,,0,,0,,,,,,,,,,5,,,,,,,,0.0,,,,,,,-3.5,,-0.4,,-1.0,
2018-01-03 08:40:00,145,146.0,,,,10.1,12.1,,14.8,,0,,0,,,,,,,,,,11,,,,,,,,0.0,,,,,,,-8.2,,-2.6,,-4.6,
2018-01-03 09:40:00,152,155.0,,,,10.5,9.8,,15.4,,0,,0,,,,,,,,,,53,,,,,,,,0.0,,,,,,,-6.9,,-4.1,,-3.9,
2018-01-03 10:40:00,149,163.0,,,,10.5,8.9,,16.2,,0,,0,,,,,,,,,,28,,,,,,,,0.0,,,,,,,-5.9,,-4.5,,-4.1,
2018-01-03 11:40:00,149,271.0,,,,6.1,1.0,,11.9,,0,,0,,,,,,,,,,18,,,,,,,,0.0,,,,,,,-3.2,,-3.7,,-2.2,
2018-01-03 12:40:00,281,297.0,,,,3.4,5.4,,9.0,,0,,0,,,,,,,,,,24,,,,,,,,0.0,,,,,,,-3.1,,-2.1,,-2.0,
2018-01-03 13:40:00,321,319.0,,,,12.0,12.2,,24.0,,0,,0,,,,,,,,,,32,,,,,,,,0.0,,,,,,,-4.2,,-4.1,,-4.1,
2018-01-03 14:40:00,327,336.0,,,,10.4,8.4,,20.1,,0,,0,,,,,,,,,,18,,,,,,,,0.0,,,,,,,-5.1,,-4.7,,-5.1,
2018-01-03 15:40:00,328,328.0,,,,10.9,12.0,,17.0,,0,,0,,,,,,,,,,1,,,,,,,,0.0,,,,,,,-6.1,,-5.6,,-6.0,
2018-01-03 16:40:00,329,328.0,,,,11.2,10.0,,17.0,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-7.8,,-6.3,,-6.5,
2018-01-03 17:40:00,322,324.0,,,,10.5,10.0,,16.5,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-7.7,,-6.1,,-6.5,
2018-01-03 18:40:00,319,310.0,,,,10.8,8.9,,16.6,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-8.4,,-6.0,,-6.6,
2018-01-03 19:40:00,306,312.0,,,,10.0,10.3,,16.2,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-9.3,,-6.2,,-6.1,
2018-01-03 20:40:00,314,320.0,,,,8.2,6.6,,13.9,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-8.4,,-6.5,,-6.5,
2018-01-03 21:40:00,323,316.0,,,,5.5,4.4,,9.4,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-7.8,,-6.8,,-6.6,
2018-01-03 22:40:00,325,338.0,,,,3.9,3.6,,4.8,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-7.1,,-6.5,,-6.4,
2018-01-03 23:40:00,309,314.0,,,,4.6,4.7,,7.8,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-7.2,,-6.4,,-6.2,
2018-01-04 00:40:00,310,322.0,,,,4.1,3.3,,6.6,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-6.9,-6.4,-6.0,,-6.1,3.1
2018-01-04 01:40:00,291,299.0,,,,3.2,3.6,,4.7,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-6.7,,-5.8,,-5.4,
2018-01-04 02:40:00,312,142.0,,,,2.1,1.7,,4.2,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-6.9,,-5.9,,-6.3,
2018-01-04 03:40:00,171,144.0,,,,1.9,1.6,,3.2,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-6.7,,-6.2,,-6.2,
2018-01-04 04:40:00,39,33.0,,,,1.5,2.7,,2.9,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-6.8,,-5.9,,-5.6,
2018-01-04 05:40:00,354,317.0,,,,1.4,1.8,,2.6,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-5.7,,-5.4,,-4.8,
2018-01-04 06:40:00,312,331.0,,,,2.8,2.6,,4.1,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-4.3,,-4.0,,-3.7,
2018-01-04 07:40:00,301,293.0,,,,2.8,2.9,,4.0,,0,,0,,,,,,,,,,4,,,,,,,,0.0,,,,,,,-2.8,,-2.8,,-2.7,
2018-01-04 08:40:00,298,23.0,,,,1.8,0.2,,3.5,,0,,0,,,,,,,,,,17,,,,,,,,0.0,,,,,,,-2.4,,-2.3,,-2.3,
2018-01-04 09:40:00,105,92.0,,,,1.8,2.6,,4.1,,0,,0,,,,,,,,,,35,,,,,,,,0.0,,,,,,,-1.7,,-2.2,,-1.7,
2018-01-04 10:40:00,131,174.0,,,,2.1,1.7,,4.8,,0,,0,,,,,,,,,,31,,,,,,,,0.0,,,,,,,-0.9,,-1.2,,-0.9,
2018-01-04 11:40:00,279,321.0,,,,1.8,1.6,,4.3,,0,,0,,,,,,,,,,37,,,,,,,,0.0,,,,,,,-0.3,,-0.4,,-0.1,
2018-01-04 12:40:00,307,292.0,,,,4.8,7.0,,10.0,,0,,0,,,,,,,,,,44,,,,,,,,0.0,,,,,,,0.1,,0.0,,0.2,
2018-01-04 13:40:00,300,310.0,,,,9.3,10.6,,14.4,,0,,0,,,,,,,,,,64,,,,,,,,0.0,,,,,,,0.4,,0.9,,1.2,
2018-01-04 14:40:00,314,317.0,,,,12.3,12.5,,17.7,,0,,0,,,,,,,,,,67,,,,,,,,0.0,,,,,,,0.6,,1.6,,1.6,
2018-01-04 15:40:00,319,320.0,,,,11.3,9.2,,19.0,,0,,0,,,,,,,,,,14,,,,,,,,0.0,,,,,,,0.4,,1.7,,2.0,
2018-01-04 16:40:00,316,308.0,,,,11.2,11.3,,17.3,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,0.1,,2.0,,2.0,
2018-01-04 17:40:00,300,294.0,,,,14.5,14.3,,20.6,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-0.6,,2.1,,2.3,
2018-01-04 18:40:00,294,293.0,,,,15.1,15.3,,21.2,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.8,,2.7,,2.7,
2018-01-04 19:40:00,303,306.0,,,,10.7,9.0,,18.8,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-2.6,,2.9,,3.1,
2018-01-04 20:40:00,307,310.0,,,,9.3,7.7,,17.3,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-3.0,,2.6,,2.4,
2018-01-04 21:40:00,313,316.0,,,,7.5,8.7,,13.1,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-2.7,,2.3,,2.0,
2018-01-04 22:40:00,300,302.0,,,,9.6,7.3,,15.0,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-2.5,,2.2,,2.4,
2018-01-04 23:40:00,309,304.0,,,,6.7,6.5,,10.1,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-2.0,,2.3,,2.4,
2018-01-05 00:40:00,310,307.0,,,,8.8,9.9,,14.8,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-2.7,-2.2,2.2,,2.5,2.9
2018-01-05 01:40:00,308,309.0,,,,11.2,10.8,,16.3,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-3.1,,2.5,,2.2,
2018-01-05 02:40:00,303,304.0,,,,12.0,11.1,,18.0,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-5.0,,2.5,,2.6,
2018-01-05 03:40:00,286,286.0,,,,9.9,8.1,,14.3,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-5.8,,2.5,,2.5,
2018-01-05 04:40:00,282,301.0,,,,7.6,5.8,,11.3,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-6.8,,2.6,,2.7,
2018-01-05 05:40:00,280,278.0,,,,4.2,4.2,,7.6,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-5.0,,2.3,,1.7,
2018-01-05 06:40:00,304,70.0,,,,1.8,0.7,,5.5,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-5.6,,1.9,,1.6,
2018-01-05 07:40:00,131,161.0,,,,4.2,6.4,,7.7,,0,,0,,,,,,,,,,8,,,,,,,,0.0,,,,,,,-6.4,,2.1,,2.7,
2018-01-05 08:40:00,154,153.0,,,,6.6,5.7,,8.9,,0,,0,,,,,,,,,,38,,,,,,,,0.0,,,,,,,-6.2,,2.7,,2.5,
2018-01-05 09:40:00,160,154.0,,,,6.5,6.6,,8.2,,0,,0,,,,,,,,,,84,,,,,,,,0.0,,,,,,,-5.5,,2.6,,2.3,
2018-01-05 10:40:00,153,163.0,,,,6.6,7.3,,8.9,,0,,0,,,,,,,,,,291,,,,,,,,30.0,,,,,,,-4.1,,2.5,,2.4,
2018-01-05 11:40:00,159,170.0,,,,8.9,8.2,,12.6,,0,,0,,,,,,,,,,221,,,,,,,,12.0,,,,,,,-4.5,,1.6,,1.5,
2018-01-05 12:40:00,162,144.0,,,,6.4,6.5,,8.5,,0,,0,,,,,,,,,,264,,,,,,,,20.0,,,,,,,-3.2,,1.3,,1.4,
2018-01-05 13:40:00,148,147.0,,,,7.2,7.2,,9.4,,0,,0,,,,,,,,,,315,,,,,,,,41.0,,,,,,,-3.6,,1.0,,0.3,
2018-01-05 14:40:00,151,149.0,,,,8.8,10.3,,12.2,,0,,0,,,,,,,,,,185,,,,,,,,35.0,,,,,,,-1.5,,-0.6,,-1.5,
2018-01-05 15:40:00,149,149.0,,,,10.2,9.2,,13.5,,0,,0,,,,,,,,,,47,,,,,,,,11.0,,,,,,,-1.8,,-1.8,,-1.8,
2018-01-05 16:40:00,150,149.0,,,,7.9,6.9,,11.2,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.8,,-1.8,,-1.8,
2018-01-05 17:40:00,146,148.0,,,,6.9,7.3,,10.5,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.9,,-1.9,,-1.9,
2018-01-05 18:40:00,158,154.0,,,,6.8,7.0,,8.8,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.9,,-1.8,,-1.7,
2018-01-05 19:40:00,150,160.0,,,,7.5,6.9,,9.2,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.8,,-1.7,,-1.5,
2018-01-05 20:40:00,147,142.0,,,,7.0,9.1,,10.9,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.9,,-1.8,,-1.9,
2018-01-05 21:40:00,142,142.0,,,,9.2,8.4,,11.7,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-2.0,,-1.9,,-2.0,
2018-01-05 22:40:00,144,140.0,,,,7.4,8.6,,10.5,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.6,,-1.9,,-1.6,
2018-01-05 23:40:00,138,139.0,,,,9.7,11.0,,12.6,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.7,,-1.7,,-1.7,
2018-01-06 00:40:00,149,151.0,,,,11.2,11.5,,13.5,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.8,-2.3,-1.7,,-1.7,-0.9
2018-01-06 01:40:00,153,154.0,,,,11.5,11.4,,13.3,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.5,,-1.0,,-0.9,
2018-01-06 02:40:00,147,149.0,,,,13.1,13.9,,16.4,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-2.1,,-1.9,,-1.8,
2018-01-06 03:40:00,148,147.0,,,,13.2,12.5,,16.6,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.5,,-1.5,,-1.5,
2018-01-06 04:40:00,148,148.0,,,,12.5,10.7,,16.9,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.5,,-1.7,,-1.5,
2018-01-06 05:40:00,149,153.0,,,,12.4,13.3,,16.6,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-3.1,,-2.1,,-2.3,
2018-01-06 06:40:00,152,147.0,,,,12.6,13.0,,17.8,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-2.0,,-2.1,,-2.0,
2018-01-06 07:40:00,155,154.0,,,,12.0,11.0,,16.7,,0,,0,,,,,,,,,,1,,,,,,,,0.0,,,,,,,-2.0,,-1.8,,-2.0,
2018-01-06 08:40:00,156,155.0,,,,11.1,10.9,,14.7,,0,,0,,,,,,,,,,26,,,,,,,,0.0,,,,,,,-2.3,,-2.0,,-2.3,
2018-01-06 09:40:00,153,149.0,,,,10.5,10.9,,14.5,,0,,0,,,,,,,,,,52,,,,,,,,0.0,,,,,,,-2.3,,-2.2,,-2.1,
2018-01-06 10:40:00,159,158.0,,,,10.2,11.1,,14.1,,0,,0,,,,,,,,,,84,,,,,,,,0.0,,,,,,,-2.4,,-2.2,,-2.0,
2018-01-06 11:40:00,163,164.0,,,,10.6,10.0,,17.0,,0,,0,,,,,,,,,,68,,,,,,,,0.0,,,,,,,-2.7,,-2.1,,-2.0,
2018-01-06 12:40:00,157,150.0,,,,8.2,8.0,,11.3,,0,,0,,,,,,,,,,69,,,,,,,,0.0,,,,,,,-2.2,,-2.2,,-2.2,
2018-01-06 13:40:00,150,143.0,,,,9.0,9.1,,12.4,,0,,0,,,,,,,,,,85,,,,,,,,0.0,,,,,,,-2.5,,-2.0,,-2.1,
2018-01-06 14:40:00,143,144.0,,,,7.9,7.1,,10.9,,0,,0,,,,,,,,,,31,,,,,,,,0.0,,,,,,,-2.5,,-2.2,,-2.2,
2018-01-06 15:40:00,147,145.0,,,,8.1,8.7,,10.2,,0,,0,,,,,,,,,,2,,,,,,,,0.0,,,,,,,-2.1,,-1.9,,-1.9,
2018-01-06 16:40:00,150,153.0,,,,8.0,6.3,,10.6,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.9,,-1.8,,-1.9,
2018-01-06 17:40:00,144,143.0,,,,8.6,9.8,,11.7,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.8,,-1.8,,-1.8,
2018-01-06 18:40:00,145,145.0,,,,10.1,10.3,,11.8,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.7,,-1.7,,-1.7,
2018-01-06 19:40:00,151,152.0,,,,10.7,10.9,,13.1,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.6,,-1.6,,-1.6,
2018-01-06 20:40:00,147,150.0,,,,12.7,12.5,,15.6,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.2,,-1.4,,-1.2,
2018-01-06 21:40:00,148,140.0,,,,10.2,10.3,,13.3,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.5,,-1.3,,-1.5,
2018-01-06 22:40:00,140,141.0,,,,10.3,10.5,,11.8,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.4,,-1.5,,-1.4,
2018-01-06 23:40:00,146,,,,,10.2,,,12.2,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.3,,-1.4,,,
2018-01-07 00:40:00,148,137.0,,,,10.3,12.5,,14.7,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.6,-1.9,-1.5,,-1.6,-0.7
2018-01-07 01:40:00,139,141.0,,,,14.0,14.6,,16.2,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.6,,-1.6,,-1.6,
2018-01-07 02:40:00,133,135.0,,,,12.4,12.6,,15.4,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.6,,-1.5,,-1.6,
2018-01-07 03:40:00,142,145.0,,,,12.7,11.1,,15.7,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.4,,-1.4,,-1.4,
2018-01-07 04:40:00,137,135.0,,,,9.9,10.9,,12.9,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.8,,-1.7,,-1.7,
2018-01-07 05:40:00,139,146.0,,,,11.9,10.9,,15.2,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-2.1,,-1.6,,-1.5,
2018-01-07 06:40:00,146,142.0,,,,10.9,11.9,,14.1,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.2,,-1.4,,-1.2,
2018-01-07 07:40:00,146,144.0,,,,10.9,11.9,,13.9,,0,,0,,,,,,,,,,0,,,,,,,,0.0,,,,,,,-1.2,,-1.4,,-1.2,
2018-01-07 08:40:00,143,148.0,,,,12.4,13.0,,15.9,,0,,0,,,,,,,,,,9,,,,,,,,0.0,,,,,,,-1.2,,-1.3,,-1.2,
2018-01-07 09:40:00,145,140.0,,,,13.9,14.7,,18.9,,0,,0,,,,,,,,,,53,,,,,,,,0.0,,,,,,,-1.0,,-1.0,,-1.0,
2018-01-07 10:40:00,150,157.0,,,,13.5,13.6,,19.2,,0,,0,,,,,,,,,,100,,,,,,,,0.0,,,,,,,-0.8,,-0.8,,-0.8,
2018-01-07 11:40:00,153,150.0,,,,14.7,14.6,,18.5,,0,,0,,,,,,,,,,102,,,,,,,,0.0,,,,,,,-0.9,,-0.9,,-0.9,
2018-01-07 12:40:00,152,151.0,,,,14.7,14.5,,18.9,,0,,0,,,,,,,,,,52,,,,,,,,0.0,,,,,,,-0.9,,-0.9,,-0.9,
2018-01-07 13:40:00,148,150.0,,,,14.5,14.5,,17.7,,0,,0,,,,,,,,,,41,,,,,,,,0.0,,,,,,,-1.2,,-1.1,,-1.1,
2018-01-07 14:40:00,148,150.0,,,,14.4,14.3,,18.8,,0,,0,,,,,,,,,,10,,,,,,,,0.0,,,,,,,-1.0,,-1.0,,-1.0,
