,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,173,174.0,,0,0.1,4.0,3.8,,6.3,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-6.1,-3.1,-1.2,,-1.5,-0.1
2018-01-01 01:40:00,175,173.0,,0,,2.3,0.4,,5.5,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-5.0,,-1.7,,-2.8,
2018-01-01 02:40:00,2,16.0,,0,,3.1,1.8,,10.7,,0,,0,,,,,,,,,,2,,,,0.3,,,,0,,,,,,,-1.7,,-1.2,,-1.2,
2018-01-01 03:40:00,20,341.0,,0,,2.8,1.7,,7.1,,0,,0,,,,,,,,,,2,,,,1.3,,,,0,,,,,,,-1.3,,-0.9,,-1.1,
2018-01-01 04:40:00,360,345.0,,0,,2.5,1.6,,6.4,,0,,0,,,,,,,,,,2,,,,0.1,,,,0,,,,,,,-1.4,,-1.2,,-1.3,
2018-01-01 05:40:00,45,191.0,,0,,1.4,1.5,,3.2,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-1.6,,-1.4,,-1.4,
2018-01-01 06:40:00,141,358.0,,0,,1.6,2.3,,4.9,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-2.8,,-2.1,,-2.2,
2018-01-01 07:40:00,45,302.0,,4,,1.3,0.3,,4.5,,0,,0,,,,,,,,,,6,,,,0.0,,,,0,,,,,,,-2.6,,-2.1,,-2.3,
2018-01-01 08:40:00,146,185.0,,25,,1.0,1.0,,2.9,,0,,0,,,,,,,,,,28,,,,0.0,,,,0,,,,,,,-3.0,,-2.4,,-2.8,
2018-01-01 09:40:00,155,151.0,,58,,1.7,1.1,,4.2,,0,,0,,,,,,,,,,135,,,,0.0,,,,23,,,,,,,-3.7,,-2.6,,-2.4,
2018-01-01 10:40:00,17,91.0,,124,,2.2,1.2,,6.1,,0,,0,,,,,,,,,,310,,,,0.0,,,,40,,,,,,,-3.8,,-1.3,,-1.0,
2018-01-01 11:40:00,0,343.0,,50,,1.4,3.2,,4.8,,0,,0,,,,,,,,,,394,,,,0.0,,,,60,,,,,,,-4.7,,-0.6,,-0.6,
2018-01-01 12:40:00,337,56.0,,43,,1.4,0.5,,4.2,,0,,0,,,,,,,,,,243,,,,0.0,,,,37,,,,,,,-4.8,,-1.3,,-2.6,
2018-01-01 13:40:00,174,181.0,,82,,1.9,2.0,,5.2,,0,,0,,,,,,,,,,88,,,,0.0,,,,0,,,,,,,-5.4,,-2.2,,-2.0,
2018-01-01 14:40:00,27,156.0,,65,,1.7,1.0,,5.9,,0,,0,,,,,,,,,,68,,,,0.0,,,,0,,,,,,,-4.3,,-2.1,,-2.2,
2018-01-01 15:40:00,175,163.0,,12,,1.3,1.6,,2.8,,0,,0,,,,,,,,,,14,,,,0.0,,,,0,,,,,,,-5.0,,-1.9,,-1.7,
2018-01-01 16:40:00,175,302.0,,0,,1.3,0.1,,3.7,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-4.8,,-2.1,,-2.3,
2018-01-01 17:40:00,338,205.0,,0,,1.3,1.3,,3.9,,0,,0,,,,,,,,,,2,,,,0.8,,,,0,,,,,,,-3.5,,-2.7,,-3.1,
2018-01-01 18:40:00,188,249.0,,0,,1.2,0.7,,3.2,,0,,0,,,,,,,,,,2,,,,0.3,,,,0,,,,,,,-3.6,,-2.9,,-2.8,
2018-01-01 19:40:00,180,190.0,,0,,1.5,0.9,,4.9,,0,,0,,,,,,,,,,2,,,,0.2,,,,0,,,,,,,-3.6,,-2.9,,-2.8,
2018-01-01 20:40:00,167,146.0,,0,,1.4,0.8,,4.4,,0,,0,,,,,,,,,,2,,,,0.5,,,,0,,,,,,,-3.1,,-2.6,,-2.7,
2018-01-01 21:40:00,358,6.0,,0,,2.5,1.9,,6.7,,0,,0,,,,,,,,,,2,,,,0.7,,,,0,,,,,,,-2.3,,-2.6,,-2.2,
2018-01-01 22:40:00,5,45.0,,0,,1.7,0.3,,4.2,,0,,0,,,,,,,,,,2,,,,1.0,,,,0,,,,,,,-2.2,,-2.1,,-2.1,
2018-01-01 23:40:00,117,154.0,,0,,0.9,0.9,,2.5,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-3.2,,-2.5,,-2.9,
2018-01-02 00:40:00,15,345.0,,0,0.0,1.6,1.1,,8.0,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-4.4,-4.9,-2.9,,-3.5,0.4
2018-01-02 01:40:00,14,191.0,,0,,1.4,0.4,,4.5,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-5.8,,-3.6,,-4.2,
2018-01-02 02:40:00,166,75.0,,0,,0.9,0.3,,3.2,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-5.6,,-4.5,,-4.9,
2018-01-02 03:40:00,9,332.0,,0,,1.0,0.9,,2.9,,0,,0,,,,,,,,,,2,,,,0.7,,,,0,,,,,,,-4.5,,-4.4,,-4.2,
2018-01-02 04:40:00,146,160.0,,0,,1.0,1.1,,2.9,,0,,0,,,,,,,,,,2,,,,0.2,,,,0,,,,,,,-4.6,,-4.2,,-4.2,
2018-01-02 05:40:00,207,242.0,,0,,1.0,0.5,,3.1,,0,,0,,,,,,,,,,2,,,,0.1,,,,0,,,,,,,-4.5,,-4.1,,-4.1,
2018-01-02 06:40:00,146,175.0,,0,,0.9,0.4,,2.3,,0,,0,,,,,,,,,,2,,,,0.1,,,,0,,,,,,,-4.7,,-4.2,,-4.3,
2018-01-02 07:40:00,180,191.0,,7,,0.7,0.2,,2.2,,0,,0,,,,,,,,,,10,,,,0.0,,,,0,,,,,,,-4.8,,-4.3,,-4.2,
2018-01-02 08:40:00,171,158.0,,40,,0.9,0.7,,3.1,,0,,0,,,,,,,,,,42,,,,0.0,,,,0,,,,,,,-4.6,,-4.0,,-3.8,
2018-01-02 09:40:00,180,330.0,,105,,0.8,0.3,,2.2,,0,,0,,,,,,,,,,109,,,,0.0,,,,0,,,,,,,-4.6,,-3.3,,-3.1,
2018-01-02 10:40:00,225,197.0,,136,,0.9,1.0,,2.6,,0,,0,,,,,,,,,,139,,,,0.0,,,,0,,,,,,,-4.3,,-2.6,,-2.3,
2018-01-02 11:40:00,225,225.0,,204,,0.8,0.5,,2.9,,0,,0,,,,,,,,,,214,,,,0.0,,,,0,,,,,,,-4.7,,-1.7,,-1.6,
2018-01-02 12:40:00,186,180.0,,132,,1.0,0.9,,2.0,,0,,0,,,,,,,,,,134,,,,0.0,,,,0,,,,,,,-5.5,,-1.6,,-1.6,
2018-01-02 13:40:00,356,13.0,,86,,1.8,1.3,,5.3,,0,,0,,,,,,,,,,88,,,,0.0,,,,0,,,,,,,-6.5,,-2.2,,-2.3,
2018-01-02 14:40:00,166,177.0,,35,,1.1,0.7,,4.0,,0,,0,,,,,,,,,,37,,,,0.0,,,,0,,,,,,,-4.9,,-2.7,,-2.8,
2018-01-02 15:40:00,173,177.0,,7,,1.1,1.2,,3.4,,0,,0,,,,,,,,,,9,,,,0.0,,,,0,,,,,,,-4.9,,-3.3,,-3.7,
2018-01-02 16:40:00,180,163.0,,0,,1.5,1.3,,2.8,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-6.7,,-3.5,,-3.5,
2018-01-02 17:40:00,23,77.0,,0,,1.9,0.4,,8.3,,0,,0,,,,,,,,,,2,,,,0.1,,,,0,,,,,,,-6.3,,-3.5,,-3.6,
2018-01-02 18:40:00,191,51.0,,0,,2.1,0.6,,5.3,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-5.7,,-3.9,,-3.8,
2018-01-02 19:40:00,162,173.0,,0,,1.5,1.2,,4.8,,0,,0,,,,,,,,,,2,,,,0.1,,,,0,,,,,,,-5.0,,-3.8,,-3.7,
2018-01-02 20:40:00,90,167.0,,0,,1.6,1.0,,7.2,,0,,0,,,,,,,,,,2,,,,1.1,,,,0,,,,,,,-4.2,,-3.7,,-3.8,
2018-01-02 21:40:00,180,181.0,,0,,1.9,1.7,,6.8,,0,,0,,,,,,,,,,2,,,,1.7,,,,0,,,,,,,-3.4,,-3.2,,-3.2,
2018-01-02 22:40:00,135,175.0,,0,,1.1,0.4,,4.0,,0,,0,,,,,,,,,,2,,,,1.2,,,,0,,,,,,,-1.9,,-2.3,,-1.8,
2018-01-02 23:40:00,167,171.0,,0,,1.9,1.6,,5.1,,0,,0,,,,,,,,,,2,,,,0.6,,,,0,,,,,,,0.3,,-0.4,,0.4,
2018-01-03 00:40:00,153,170.0,,0,0.0,1.6,1.4,,4.8,,0,,0,,,,,,,,,,2,,,,0.9,,,,0,,,,,,,0.3,-2.1,0.4,,0.4,9.2
2018-01-03 01:40:00,169,169.0,,0,,1.9,0.1,,7.3,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,0.3,,0.7,,0.4,
2018-01-03 02:40:00,153,176.0,,0,,1.5,1.2,,4.6,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,0.4,,0.5,,0.5,
2018-01-03 03:40:00,172,184.0,,0,,1.5,1.0,,5.8,,0,,0,,,,,,,,,,2,,,,0.2,,,,0,,,,,,,1.1,,0.7,,1.2,
2018-01-03 04:40:00,162,151.0,,0,,1.6,1.3,,4.3,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,1.4,,1.2,,1.5,
2018-01-03 05:40:00,159,149.0,,0,,1.6,0.8,,5.4,,0,,0,,,,,,,,,,2,,,,0.3,,,,0,,,,,,,1.0,,1.3,,1.1,
2018-01-03 06:40:00,180,212.0,,0,,2.2,0.6,,6.4,,0,,0,,,,,,,,,,2,,,,0.1,,,,0,,,,,,,2.1,,1.9,,2.2,
2018-01-03 07:40:00,18,7.0,,4,,2.8,4.0,,15.8,,0,,0,,,,,,,,,,6,,,,0.3,,,,0,,,,,,,2.0,,3.7,,6.3,
2018-01-03 08:40:00,28,27.0,,25,,5.8,4.8,,23.3,,0,,0,,,,,,,,,,27,,,,0.0,,,,0,,,,,,,-1.1,,8.4,,8.8,
2018-01-03 09:40:00,26,19.0,,45,,5.9,5.2,,17.3,,0,,0,,,,,,,,,,47,,,,0.0,,,,0,,,,,,,-1.6,,8.4,,8.6,
2018-01-03 10:40:00,37,54.0,,52,,7.0,5.8,,16.3,,0,,0,,,,,,,,,,53,,,,0.1,,,,0,,,,,,,-1.1,,8.0,,8.0,
2018-01-03 11:40:00,31,3.0,,31,,4.2,4.1,,15.4,,0,,0,,,,,,,,,,33,,,,0.4,,,,0,,,,,,,1.0,,5.5,,4.9,
2018-01-03 12:40:00,36,28.0,,37,,5.8,4.2,,16.0,,0,,0,,,,,,,,,,39,,,,0.3,,,,0,,,,,,,-3.4,,4.9,,4.7,
2018-01-03 13:40:00,24,20.0,,7,,3.6,4.1,,10.1,,0,,0,,,,,,,,,,9,,,,2.4,,,,0,,,,,,,0.0,,1.3,,0.1,
2018-01-03 14:40:00,14,12.0,,4,,3.4,2.0,,10.4,,0,,0,,,,,,,,,,6,,,,1.7,,,,0,,,,,,,-1.2,,-0.4,,-0.6,
2018-01-03 15:40:00,28,358.0,,1,,3.1,0.3,,13.4,,0,,0,,,,,,,,,,3,,,,0.4,,,,0,,,,,,,-3.6,,0.0,,-0.2,
2018-01-03 16:40:00,37,156.0,,0,,2.3,0.4,,12.6,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-3.0,,-0.4,,-1.2,
2018-01-03 17:40:00,207,184.0,,0,,1.3,2.2,,6.2,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-2.5,,-1.3,,-1.3,
2018-01-03 18:40:00,90,297.0,,0,,1.3,0.3,,5.8,,0,,0,,,,,,,,,,2,,,,0.1,,,,0,,,,,,,-2.6,,-1.2,,-1.5,
2018-01-03 19:40:00,10,14.0,,0,,1.4,2.9,,5.8,,0,,0,,,,,,,,,,2,,,,0.8,,,,0,,,,,,,-2.3,,-1.8,,-2.0,
2018-01-03 20:40:00,23,72.0,,0,,1.3,1.0,,6.6,,0,,0,,,,,,,,,,2,,,,0.1,,,,0,,,,,,,-2.5,,-1.8,,-1.8,
2018-01-03 21:40:00,27,24.0,,0,,1.2,1.7,,3.3,,0,,0,,,,,,,,,,2,,,,0.6,,,,0,,,,,,,-2.4,,-1.9,,-2.1,
2018-01-03 22:40:00,180,199.0,,0,,0.8,0.4,,2.2,,0,,0,,,,,,,,,,2,,,,0.7,,,,0,,,,,,,-2.0,,-2.0,,-1.9,
2018-01-03 23:40:00,172,188.0,,0,,0.9,0.3,,2.8,,0,,0,,,,,,,,,,2,,,,0.2,,,,0,,,,,,,-2.1,,-1.9,,-1.8,
2018-01-04 00:40:00,180,192.0,,0,0.0,0.8,0.5,,2.8,,0,,0,,,,,,,,,,2,,,,0.3,,,,0,,,,,,,-1.9,-1.9,-1.9,,-1.8,3.1
2018-01-04 01:40:00,360,129.0,,0,,0.9,0.2,,2.7,,0,,0,,,,,,,,,,2,,,,0.6,,,,0,,,,,,,-1.9,,-1.8,,-1.8,
2018-01-04 02:40:00,169,200.0,,0,,0.9,0.4,,2.3,,0,,0,,,,,,,,,,2,,,,0.6,,,,0,,,,,,,-1.5,,-1.6,,-1.4,
2018-01-04 03:40:00,143,169.0,,0,,1.2,0.3,,3.8,,0,,0,,,,,,,,,,2,,,,0.7,,,,0,,,,,,,-1.0,,-1.1,,-0.9,
2018-01-04 04:40:00,169,155.0,,0,,1.4,1.0,,3.7,,0,,0,,,,,,,,,,2,,,,1.3,,,,0,,,,,,,-0.5,,-0.7,,-0.4,
2018-01-04 05:40:00,167,160.0,,0,,1.5,1.2,,3.4,,0,,0,,,,,,,,,,2,,,,1.3,,,,0,,,,,,,0.4,,0.2,,0.5,
2018-01-04 06:40:00,158,162.0,,0,,1.2,0.5,,4.1,,0,,0,,,,,,,,,,2,,,,2.1,,,,0,,,,,,,0.4,,0.6,,0.5,
2018-01-04 07:40:00,149,136.0,,1,,1.4,1.1,,4.7,,0,,0,,,,,,,,,,3,,,,1.8,,,,0,,,,,,,0.6,,0.5,,0.7,
2018-01-04 08:40:00,180,210.0,,6,,1.3,0.4,,3.1,,0,,0,,,,,,,,,,8,,,,3.5,,,,0,,,,,,,0.4,,0.6,,0.5,
2018-01-04 09:40:00,191,182.0,,9,,1.2,0.9,,3.2,,0,,0,,,,,,,,,,12,,,,4.6,,,,0,,,,,,,0.7,,0.7,,0.8,
2018-01-04 10:40:00,187,177.0,,13,,1.5,1.2,,3.8,,0,,0,,,,,,,,,,15,,,,5.0,,,,0,,,,,,,1.5,,1.3,,1.6,
2018-01-04 11:40:00,198,307.0,,15,,1.4,1.0,,4.1,,0,,0,,,,,,,,,,17,,,,4.3,,,,0,,,,,,,1.6,,1.8,,1.7,
2018-01-04 12:40:00,146,138.0,,15,,1.4,0.6,,3.8,,1,,0,,,,,,,,,,17,,,,2.6,,,,0,,,,,,,1.6,,1.7,,1.7,
2018-01-04 13:40:00,149,130.0,,13,,1.7,0.8,,6.4,,2,,0,,,,,,,,,,15,,,,2.3,,,,0,,,,,,,2.6,,2.2,,2.7,
2018-01-04 14:40:00,180,175.0,,10,,1.4,1.2,,4.0,,0,,0,,,,,,,,,,12,,,,1.8,,,,0,,,,,,,2.3,,2.7,,2.4,
2018-01-04 15:40:00,170,159.0,,3,,1.5,1.0,,4.0,,0,,0,,,,,,,,,,5,,,,1.7,,,,0,,,,,,,2.3,,2.5,,2.4,
2018-01-04 16:40:00,172,78.0,,0,,1.9,0.2,,4.3,,0,,0,,,,,,,,,,2,,,,1.3,,,,0,,,,,,,2.2,,2.6,,2.3,
2018-01-04 17:40:00,159,5.0,,0,,2.0,0.9,,4.3,,0,,0,,,,,,,,,,2,,,,0.9,,,,0,,,,,,,2.1,,2.5,,2.2,
2018-01-04 18:40:00,158,148.0,,0,,1.7,1.5,,5.3,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,2.3,,2.2,,2.4,
2018-01-04 19:40:00,146,139.0,,0,,1.7,0.9,,4.5,,0,,0,,,,,,,,,,2,,,,0.1,,,,0,,,,,,,2.4,,2.3,,2.5,
2018-01-04 20:40:00,7,173.0,,0,,1.9,0.6,,5.5,,0,,0,,,,,,,,,,2,,,,0.5,,,,0,,,,,,,1.9,,2.5,,2.0,
2018-01-04 21:40:00,151,166.0,,0,,1.3,0.8,,3.2,,0,,0,,,,,,,,,,2,,,,1.2,,,,0,,,,,,,1.8,,2.2,,1.9,
2018-01-04 22:40:00,164,136.0,,0,,1.3,0.5,,3.3,,0,,0,,,,,,,,,,2,,,,0.7,,,,0,,,,,,,1.5,,1.7,,1.6,
2018-01-04 23:40:00,176,194.0,,0,,1.7,1.3,,4.2,,0,,0,,,,,,,,,,2,,,,0.6,,,,0,,,,,,,1.8,,1.7,,1.9,
2018-01-05 00:40:00,127,177.0,,0,0.1,1.7,1.6,,5.2,,0,,0,,,,,,,,,,2,,,,0.1,,,,0,,,,,,,1.5,-0.5,1.8,,1.6,5.1
2018-01-05 01:40:00,143,177.0,,0,,1.8,0.8,,6.2,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,1.3,,1.7,,1.4,
2018-01-05 02:40:00,159,154.0,,0,,1.6,1.1,,3.8,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,1.1,,1.5,,1.2,
2018-01-05 03:40:00,162,159.0,,0,,2.0,1.6,,4.2,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,1.1,,1.2,,1.2,
2018-01-05 04:40:00,163,152.0,,0,,1.5,1.1,,4.9,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,0.8,,0.9,,0.9,
2018-01-05 05:40:00,164,169.0,,0,,2.0,1.8,,4.4,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,0.7,,0.8,,0.8,
2018-01-05 06:40:00,171,160.0,,0,,2.1,2.6,,5.4,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,0.3,,0.3,,0.4,
2018-01-05 07:40:00,171,178.0,,11,,2.2,1.2,,4.8,,0,,0,,,,,,,,,,14,,,,0.0,,,,0,,,,,,,0.3,,0.7,,0.5,
2018-01-05 08:40:00,176,174.0,,63,,1.6,1.9,,4.8,,0,,0,,,,,,,,,,66,,,,0.0,,,,0,,,,,,,1.2,,0.9,,1.5,
2018-01-05 09:40:00,139,143.0,,67,,1.7,1.3,,6.5,,0,,0,,,,,,,,,,98,,,,0.0,,,,9,,,,,,,1.6,,1.4,,1.8,
2018-01-05 10:40:00,168,165.0,,118,,2.1,2.3,,5.9,,0,,0,,,,,,,,,,208,,,,0.0,,,,21,,,,,,,1.9,,2.7,,3.4,
2018-01-05 11:40:00,175,298.0,,155,,1.5,0.2,,4.6,,0,,0,,,,,,,,,,221,,,,0.0,,,,13,,,,,,,2.4,,3.2,,3.3,
2018-01-05 12:40:00,297,209.0,,191,,0.9,1.1,,3.1,,0,,0,,,,,,,,,,337,,,,0.0,,,,33,,,,,,,2.3,,4.2,,3.5,
2018-01-05 13:40:00,189,187.0,,108,,1.3,1.7,,3.3,,0,,0,,,,,,,,,,115,,,,0.0,,,,0,,,,,,,2.0,,2.8,,2.5,
2018-01-05 14:40:00,180,171.0,,21,,2.1,2.1,,4.6,,0,,0,,,,,,,,,,23,,,,0.0,,,,0,,,,,,,0.1,,1.9,,1.5,
2018-01-05 15:40:00,174,171.0,,6,,3.0,3.1,,5.7,,0,,0,,,,,,,,,,8,,,,0.0,,,,0,,,,,,,-1.4,,1.7,,1.4,
2018-01-05 16:40:00,173,180.0,,0,,2.6,2.3,,5.3,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-1.3,,1.0,,0.1,
2018-01-05 17:40:00,168,168.0,,0,,3.0,2.9,,5.8,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-2.5,,1.0,,1.7,
2018-01-05 18:40:00,178,175.0,,0,,2.8,3.5,,5.3,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-2.4,,0.7,,0.8,
2018-01-05 19:40:00,178,186.0,,0,,2.4,2.1,,5.5,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-2.0,,0.4,,-0.5,
2018-01-05 20:40:00,170,159.0,,0,,2.9,2.1,,6.5,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-2.1,,0.4,,0.8,
2018-01-05 21:40:00,174,171.0,,0,,3.0,3.0,,5.6,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-2.0,,0.5,,0.6,
2018-01-05 22:40:00,174,160.0,,0,,3.0,2.7,,6.0,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-2.0,,0.6,,0.9,
2018-01-05 23:40:00,173,181.0,,0,,2.7,2.5,,5.5,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-1.7,,0.7,,0.4,
2018-01-06 00:40:00,185,183.0,,0,0.1,1.4,1.3,,4.2,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-2.2,-2.7,-0.9,,-1.7,3.9
2018-01-06 01:40:00,183,186.0,,0,,2.0,2.5,,5.0,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-2.6,,-1.6,,-1.2,
2018-01-06 02:40:00,178,181.0,,0,,2.6,2.3,,5.3,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-3.2,,-1.1,,-1.8,
2018-01-06 03:40:00,183,180.0,,0,,2.2,3.1,,5.3,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-3.7,,-2.1,,-1.8,
2018-01-06 04:40:00,176,180.0,,0,,2.7,2.4,,5.2,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-3.6,,-1.6,,-1.9,
2018-01-06 05:40:00,171,164.0,,0,,3.0,2.8,,5.3,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-3.5,,-0.9,,-0.4,
2018-01-06 06:40:00,163,166.0,,0,,2.5,2.4,,5.0,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-2.8,,-0.2,,0.1,
2018-01-06 07:40:00,178,174.0,,4,,2.4,3.0,,4.6,,0,,0,,,,,,,,,,6,,,,0.0,,,,0,,,,,,,-3.5,,-0.9,,-0.7,
2018-01-06 08:40:00,173,164.0,,12,,2.5,2.3,,4.9,,0,,0,,,,,,,,,,15,,,,0.0,,,,0,,,,,,,-3.9,,-1.1,,-1.0,
2018-01-06 09:40:00,165,170.0,,37,,2.4,2.0,,5.6,,0,,0,,,,,,,,,,133,,,,0.0,,,,24,,,,,,,-3.4,,-0.3,,1.0,
2018-01-06 10:40:00,174,176.0,,74,,1.9,1.3,,5.1,,0,,0,,,,,,,,,,359,,,,0.0,,,,60,,,,,,,-3.6,,2.1,,2.8,
2018-01-06 11:40:00,197,206.0,,108,,1.5,0.9,,4.5,,0,,0,,,,,,,,,,319,,,,0.0,,,,60,,,,,,,-2.3,,3.5,,3.6,
2018-01-06 12:40:00,343,238.0,,95,,1.6,0.6,,4.3,,0,,0,,,,,,,,,,236,,,,0.0,,,,41,,,,,,,-1.8,,3.6,,2.5,
2018-01-06 13:40:00,176,177.0,,24,,1.5,1.8,,4.9,,0,,0,,,,,,,,,,27,,,,0.0,,,,0,,,,,,,-2.6,,1.4,,1.2,
2018-01-06 14:40:00,176,171.0,,27,,1.6,1.5,,3.9,,0,,0,,,,,,,,,,30,,,,0.0,,,,0,,,,,,,-3.1,,0.3,,0.2,
2018-01-06 15:40:00,180,179.0,,6,,1.2,0.6,,3.9,,0,,0,,,,,,,,,,8,,,,0.0,,,,0,,,,,,,-3.2,,-1.0,,-1.6,
2018-01-06 16:40:00,180,189.0,,0,,1.3,0.8,,4.0,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-2.9,,-1.4,,-1.2,
2018-01-06 17:40:00,172,156.0,,0,,1.2,1.0,,3.3,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-2.6,,-1.0,,-0.8,
2018-01-06 18:40:00,184,187.0,,0,,1.7,1.3,,4.5,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-2.9,,-0.9,,-1.1,
2018-01-06 19:40:00,180,188.0,,0,,2.0,2.4,,5.5,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-3.3,,-0.7,,-0.7,
2018-01-06 20:40:00,183,183.0,,0,,1.9,2.4,,5.1,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-3.8,,-1.0,,-1.1,
2018-01-06 21:40:00,178,183.0,,0,,3.0,2.9,,5.3,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-3.2,,-0.5,,-0.6,
2018-01-06 22:40:00,173,331.0,,0,,2.9,0.5,,5.8,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-4.0,,0.3,,-0.6,
2018-01-06 23:40:00,177,,,0,,2.2,,,5.2,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-3.9,,-0.3,,,
2018-01-07 00:40:00,180,183.0,,0,0.1,2.4,3.1,,6.1,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-3.2,-1.5,-0.2,,0.0,5.5
2018-01-07 01:40:00,180,175.0,,0,,1.6,1.6,,5.1,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-3.1,,-0.6,,-0.4,
2018-01-07 02:40:00,174,172.0,,0,,2.0,1.8,,5.4,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-3.5,,-0.1,,-0.3,
2018-01-07 03:40:00,184,181.0,,0,,1.9,2.4,,5.7,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-4.3,,-0.7,,-0.1,
2018-01-07 04:40:00,175,171.0,,0,,2.3,1.8,,5.9,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-4.2,,-0.2,,0.0,
2018-01-07 05:40:00,175,196.0,,0,,2.3,1.2,,5.4,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-4.1,,0.0,,-0.9,
2018-01-07 06:40:00,180,172.0,,0,,2.1,2.4,,5.2,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-3.9,,-0.2,,0.1,
2018-01-07 07:40:00,180,197.0,,15,,1.8,0.7,,5.1,,0,,0,,,,,,,,,,18,,,,0.0,,,,0,,,,,,,-3.4,,-0.2,,-0.5,
2018-01-07 08:40:00,174,105.0,,84,,1.1,0.2,,3.6,,0,,0,,,,,,,,,,88,,,,0.0,,,,0,,,,,,,-2.3,,0.4,,1.0,
2018-01-07 09:40:00,166,197.0,,179,,0.9,1.0,,3.3,,0,,0,,,,,,,,,,190,,,,0.0,,,,0,,,,,,,-1.2,,3.1,,3.9,
2018-01-07 10:40:00,360,353.0,,180,,1.4,3.2,,5.3,,0,,0,,,,,,,,,,250,,,,0.0,,,,14,,,,,,,-3.5,,4.9,,5.2,
2018-01-07 11:40:00,2,347.0,,165,,2.9,1.6,,6.1,,0,,0,,,,,,,,,,315,,,,0.0,,,,54,,,,,,,-2.4,,5.3,,5.2,
