,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,281,282.0,,,,4.8,2.0,,12.1,,0,,0,,2988.2,,,,,,,,0,,,,0.1,,,,0.0,,,,,,,-5.7,-9.0,-3.8,,-4.1,-3.4
2018-01-01 01:40:00,360,91.0,,,,2.3,4.6,,11.6,,0,,0,,2980.9,,,,,,,,0,,,,0.1,,,,0.0,,,,,,,-6.1,,-4.6,,-5.7,
2018-01-01 02:40:00,88,89.0,,,,7.9,10.1,,14.2,,0,,0,,2983.4,,,,,,,,0,,,,7.6,,,,0.0,,,,,,,-6.6,,-5.7,,-6.6,
2018-01-01 03:40:00,89,90.0,,,,8.5,8.5,,13.0,,0,,0,,2985.9,,,,,,,,0,,,,3.1,,,,0.0,,,,,,,-7.0,,-6.9,,-6.9,
2018-01-01 04:40:00,93,96.0,,,,8.7,8.1,,14.3,,0,,0,,2989.1,,,11.0,,,,,0,,,,2.9,,,,0.0,,,,,,,-8.0,,-7.3,,-7.4,
2018-01-01 05:40:00,95,98.0,,,,6.0,5.2,,12.0,,0,,0,,2990.5,,,,,,,,0,,,,2.0,,,,0.0,,,,,,,-10.2,,-7.6,,-7.7,
2018-01-01 06:40:00,115,169.0,,,,3.1,0.6,,7.9,,0,,0,,2991.6,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-10.2,,-8.0,,-7.7,
2018-01-01 07:40:00,111,113.0,,,,4.7,5.4,,11.1,,0,,0,,2989.4,,,,,,,,19,,,,0.0,,,,0.0,,,,,,,-8.9,,-8.5,,-8.8,
2018-01-01 08:40:00,109,111.0,,,,5.5,7.1,,10.8,,0,,0,,2987.1,,,,,,,,139,,,,0.0,,,,0.0,,,,,,,-8.9,,-8.4,,-8.4,
2018-01-01 09:40:00,120,131.0,,,,4.8,3.7,,11.2,,0,,0,,2993.2,,,,,,,,255,,,,0.0,,,,0.0,,,,,,,-10.0,,-8.2,,-7.4,
2018-01-01 10:40:00,105,92.0,,,,2.8,1.7,,10.9,,0,,0,,2986.3,,,,,,,,140,,,,0.0,,,,0.0,,,,,,,-11.6,,-8.2,,-8.8,
2018-01-01 11:40:00,87,77.0,,,,2.8,3.1,,7.2,,0,,0,,2980.6,,,,,,,,69,,,,0.0,,,,0.0,,,,,,,-15.4,,-8.5,,-8.6,
2018-01-01 12:40:00,79,258.0,,,,2.7,3.5,,7.6,,0,,0,,2978.7,,,,,,,,275,,,,0.0,,,,41.0,,,,,,,-16.9,,-6.4,,-5.8,
2018-01-01 13:40:00,124,207.0,,,,1.9,2.5,,4.7,,0,,0,,2963.9,,,,,,,,172,,,,0.0,,,,0.0,,,,,,,-14.1,,-6.3,,-6.5,
2018-01-01 14:40:00,283,288.0,,,,4.1,5.5,,8.3,,0,,0,,2954.5,,,,,,,,78,,,,0.0,,,,0.0,,,,,,,-12.0,,-6.4,,-7.1,
2018-01-01 15:40:00,278,261.0,,,,5.6,5.0,,7.8,,0,,0,,2943.7,,,,,,,,15,,,,0.0,,,,0.0,,,,,,,-9.9,,-7.6,,-8.5,
2018-01-01 16:40:00,282,299.0,,,,3.9,5.1,,10.0,,0,,0,,2933.9,,,,,,,,0,,,,0.6,,,,0.0,,,,,,,-7.6,,-8.4,,-7.6,
2018-01-01 17:40:00,291,301.0,,,,5.0,4.0,,10.1,,0,,0,,2935.4,,,,,,,,0,,,,2.6,,,,0.0,,,,,,,-7.9,,-7.0,,-6.7,
2018-01-01 18:40:00,280,6.0,,,,3.1,0.6,,7.3,,0,,0,,2942.4,,,,,,,,0,,,,1.7,,,,0.0,,,,,,,-8.0,,-6.5,,-6.3,
2018-01-01 19:40:00,90,108.0,,,,3.4,4.1,,7.4,,0,,0,,2945.8,,,,,,,,0,,,,3.5,,,,0.0,,,,,,,-7.6,,-6.3,,-6.1,
2018-01-01 20:40:00,99,90.0,,,,5.9,7.9,,11.1,,0,,0,,2947.6,,,,,,,,0,,,,6.8,,,,0.0,,,,,,,-6.9,,-6.8,,-6.9,
2018-01-01 21:40:00,91,86.0,,,,8.7,10.0,,14.5,,0,,0,,2952.2,,,,,,,,0,,,,8.0,,,,0.0,,,,,,,-7.2,,-7.0,,-7.2,
2018-01-01 22:40:00,90,86.0,,,,10.4,13.7,,21.7,,0,,0,,2955.3,,,,,,,,0,,,,5.1,,,,0.0,,,,,,,-7.8,,-7.3,,-7.8,
2018-01-01 23:40:00,87,86.0,,,,11.5,12.0,,19.6,,0,,0,,2957.6,,,,,,,,0,,,,3.7,,,,0.0,,,,,,,-8.2,,-7.8,,-8.2,
2018-01-02 00:40:00,87,86.0,,,,13.2,15.4,,22.5,,0,,0,,2955.8,,,,,,,,0,,,,9.6,,,,0.0,,,,,,,-8.1,-10.5,-8.3,,-8.1,-2.1
2018-01-02 01:40:00,85,88.0,,,,15.2,12.6,,22.6,,0,,0,,2954.2,,,,,,,,0,,,,5.3,,,,0.0,,,,,,,-9.5,,-9.0,,-9.5,
2018-01-02 02:40:00,88,87.0,,,,14.1,14.3,,23.7,,0,,0,,2948.8,,,,,,,,0,,,,2.5,,,,0.0,,,,,,,-9.7,,-9.5,,-9.7,
2018-01-02 03:40:00,88,88.0,,,,15.4,16.4,,30.8,,0,,0,,2954.3,,,,,,,,0,,,,6.4,,,,0.0,,,,,,,-8.9,,-9.1,,-8.9,
2018-01-02 04:40:00,86,88.0,,,,15.9,14.6,,22.9,,0,,0,,2959.4,,,18.0,,,,,0,,,,5.3,,,,0.0,,,,,,,-9.5,,-9.2,,-9.5,
2018-01-02 05:40:00,88,88.0,,,,15.0,16.0,,22.5,,0,,0,,2964.4,,,,,,,,0,,,,3.1,,,,0.0,,,,,,,-9.0,,-9.2,,-9.0,
2018-01-02 06:40:00,87,87.0,,,,15.0,14.6,,24.9,,0,,0,,2975.1,,,,,,,,0,,,,2.3,,,,0.0,,,,,,,-8.8,,-9.1,,-8.8,
2018-01-02 07:40:00,90,89.0,,,,13.0,12.5,,20.1,,0,,0,,2984.4,,,,,,,,4,,,,1.0,,,,0.0,,,,,,,-9.3,,-9.5,,-9.3,
2018-01-02 08:40:00,91,91.0,,,,11.3,10.7,,18.8,,0,,0,,2993.6,,,,,,,,41,,,,0.2,,,,0.0,,,,,,,-9.3,,-9.4,,-9.3,
2018-01-02 09:40:00,93,94.0,,,,9.1,8.6,,13.4,,0,,0,,3004.6,,,,,,,,111,,,,0.0,,,,0.0,,,,,,,-10.1,,-9.8,,-9.9,
2018-01-02 10:40:00,96,114.0,,,,8.5,7.6,,12.4,,0,,0,,3004.6,,,,,,,,243,,,,0.0,,,,0.0,,,,,,,-10.3,,-9.9,,-9.9,
2018-01-02 11:40:00,104,101.0,,,,7.1,6.2,,11.5,,0,,0,,3004.4,,,,,,,,273,,,,0.0,,,,0.0,,,,,,,-14.6,,-9.7,,-9.5,
2018-01-02 12:40:00,108,134.0,,,,5.1,3.7,,11.7,,0,,0,,3001.5,,,,,,,,177,,,,0.0,,,,0.0,,,,,,,-16.4,,-9.4,,-9.4,
2018-01-02 13:40:00,113,91.0,,,,3.3,2.9,,7.7,,0,,0,,3005.0,,,,,,,,122,,,,0.0,,,,0.0,,,,,,,-14.5,,-9.3,,-9.7,
2018-01-02 14:40:00,101,88.0,,,,2.6,5.4,,10.1,,0,,0,,3010.9,,,,,,,,59,,,,0.0,,,,0.0,,,,,,,-14.3,,-9.1,,-9.3,
2018-01-02 15:40:00,107,250.0,,,,3.7,1.4,,10.0,,0,,0,,3011.5,,,,,,,,7,,,,0.3,,,,0.0,,,,,,,-12.2,,-10.0,,-10.5,
2018-01-02 16:40:00,279,256.0,,,,2.8,4.3,,6.4,,0,,0,,3007.0,,,,,,,,0,,,,0.3,,,,0.0,,,,,,,-11.5,,-10.3,,-10.2,
2018-01-02 17:40:00,286,146.0,,,,3.7,0.2,,8.5,,0,,0,,3010.8,,,,,,,,0,,,,0.3,,,,0.0,,,,,,,-9.1,,-9.4,,-6.8,
2018-01-02 18:40:00,117,118.0,,,,4.0,3.3,,8.8,,0,,0,,3020.9,,,,,,,,0,,,,0.3,,,,0.0,,,,,,,-6.5,,-5.4,,-4.9,
2018-01-02 19:40:00,132,129.0,,,,5.5,3.5,,11.1,,0,,0,,3025.0,,,,,,,,0,,,,0.6,,,,0.0,,,,,,,-4.9,,-4.4,,-3.4,
2018-01-02 20:40:00,128,119.0,,,,3.9,3.6,,9.5,,0,,0,,3024.8,,,,,,,,0,,,,2.1,,,,0.0,,,,,,,-3.9,,-3.4,,-3.5,
2018-01-02 21:40:00,107,102.0,,,,5.4,4.1,,9.5,,0,,0,,3031.9,,,,,,,,0,,,,5.0,,,,0.0,,,,,,,-3.4,,-3.2,,-3.1,
2018-01-02 22:40:00,99,107.0,,,,5.9,6.3,,12.8,,0,,0,,3031.7,,,,,,,,0,,,,7.0,,,,0.0,,,,,,,-2.8,,-2.8,,-2.7,
2018-01-02 23:40:00,114,114.0,,,,6.1,6.3,,11.5,,0,,0,,3029.8,,,,,,,,0,,,,3.3,,,,0.0,,,,,,,-2.3,,-2.5,,-2.1,
2018-01-03 00:40:00,112,171.0,,,,5.1,1.8,,11.8,,0,,0,,3029.4,,,,,,,,0,,,,4.7,,,,0.0,,,,,,,-3.1,-7.8,-2.1,,-1.8,0.4
2018-01-03 01:40:00,101,175.0,,,,3.3,0.9,,12.8,,0,,0,,3033.3,,,,,,,,0,,,,0.6,,,,0.0,,,,,,,-4.5,,-1.3,,-0.9,
2018-01-03 02:40:00,83,98.0,,,,2.9,1.7,,10.1,,0,,0,,3031.0,,,,,,,,0,,,,0.6,,,,0.0,,,,,,,-3.8,,-1.4,,-1.5,
2018-01-03 03:40:00,108,255.0,,,,4.1,2.4,,15.7,,0,,0,,3022.7,,,,,,,,0,,,,1.0,,,,0.0,,,,,,,-3.2,,-1.7,,-2.0,
2018-01-03 04:40:00,117,109.0,,,,3.5,3.1,,13.6,,0,,0,,3009.7,,,20.0,,,,,0,,,,1.0,,,,0.0,,,,,,,-2.9,,-1.7,,-2.2,
2018-01-03 05:40:00,93,81.0,,,,2.7,1.7,,6.5,,0,,0,,3007.9,,,,,,,,0,,,,1.6,,,,0.0,,,,,,,-2.3,,-1.9,,-1.5,
2018-01-03 06:40:00,37,274.0,,,,4.2,1.4,,16.8,,0,,0,,2995.6,,,,,,,,0,,,,1.0,,,,0.0,,,,,,,-1.9,,-0.4,,0.3,
2018-01-03 07:40:00,61,277.0,,,,4.9,2.3,,23.9,,0,,0,,2991.6,,,,,,,,5,,,,1.4,,,,0.0,,,,,,,-1.3,,-0.1,,-0.1,
2018-01-03 08:40:00,297,331.0,,,,6.0,3.7,,29.1,,0,,0,,2982.4,,,,,,,,27,,,,1.1,,,,0.0,,,,,,,-2.2,,0.1,,0.1,
2018-01-03 09:40:00,257,273.0,,,,6.4,7.4,,22.6,,0,,0,,2975.1,,,,,,,,48,,,,1.4,,,,0.0,,,,,,,-2.5,,0.0,,-0.4,
2018-01-03 10:40:00,255,207.0,,,,7.7,0.4,,39.2,,0,,0,,2958.4,,,,,,,,63,,,,1.6,,,,0.0,,,,,,,-2.3,,-1.1,,-0.8,
2018-01-03 11:40:00,239,197.0,,,,9.3,4.3,,42.7,,0,,0,,2952.7,,,,,,,,71,,,,1.8,,,,0.0,,,,,,,-2.2,,-1.4,,-2.2,
2018-01-03 12:40:00,97,88.0,,,,9.5,12.2,,28.4,,0,,0,,2933.7,,,,,,,,56,,,,2.9,,,,0.0,,,,,,,-3.4,,-3.1,,-3.4,
2018-01-03 13:40:00,92,89.0,,,,13.5,18.3,,47.8,,0,,0,,2920.1,,,,,,,,32,,,,8.3,,,,0.0,,,,,,,-4.6,,-4.0,,-4.6,
2018-01-03 14:40:00,84,89.0,,,,17.9,21.1,,48.9,,0,,0,,2927.4,,,,,,,,18,,,,13.8,,,,0.0,,,,,,,-5.9,,-5.1,,-5.9,
2018-01-03 15:40:00,88,91.0,,,,22.8,23.9,,45.9,,0,,0,,2929.8,,,,,,,,2,,,,15.2,,,,0.0,,,,,,,-6.3,,-6.0,,-6.3,
2018-01-03 16:40:00,89,89.0,,,,22.9,22.4,,39.2,,0,,0,,2940.1,,,,,,,,0,,,,12.2,,,,0.0,,,,,,,-6.4,,-6.4,,-6.4,
2018-01-03 17:40:00,90,89.0,,,,20.4,19.6,,38.3,,0,,0,,2945.1,,,,,,,,0,,,,10.3,,,,0.0,,,,,,,-6.5,,-6.5,,-6.5,
2018-01-03 18:40:00,91,94.0,,,,12.1,8.8,,36.2,,0,,0,,2962.3,,,,,,,,0,,,,6.7,,,,0.0,,,,,,,-6.9,,-5.9,,-6.2,
2018-01-03 19:40:00,88,85.0,,,,11.8,11.7,,34.5,,0,,0,,2964.5,,,,,,,,0,,,,1.8,,,,0.0,,,,,,,-6.7,,-6.2,,-6.7,
2018-01-03 20:40:00,91,88.0,,,,11.0,9.8,,31.8,,0,,0,,2964.2,,,,,,,,0,,,,1.6,,,,0.0,,,,,,,-6.3,,-6.3,,-6.3,
2018-01-03 21:40:00,89,90.0,,,,12.9,13.9,,31.4,,0,,0,,2959.4,,,,,,,,0,,,,1.3,,,,0.0,,,,,,,-7.8,,-7.1,,-7.8,
2018-01-03 22:40:00,89,88.0,,,,17.1,16.1,,28.2,,0,,0,,2958.6,,,,,,,,0,,,,10.9,,,,0.0,,,,,,,-7.1,,-7.3,,-7.1,
2018-01-03 23:40:00,90,91.0,,,,15.3,14.9,,25.6,,0,,0,,2953.5,,,,,,,,0,,,,12.6,,,,0.0,,,,,,,-6.5,,-6.7,,-6.5,
2018-01-04 00:40:00,101,152.0,,,,7.7,2.9,,19.6,,0,,0,,2955.4,,,,,,,,0,,,,5.2,,,,0.0,,,,,,,-5.4,-6.5,-6.2,,-5.4,0.8
2018-01-04 01:40:00,163,156.0,,,,4.1,2.7,,10.9,,0,,0,,2955.4,,,,,,,,0,,,,2.0,,,,0.0,,,,,,,-5.4,,-5.6,,-5.4,
2018-01-04 02:40:00,111,115.0,,,,4.4,4.2,,14.6,,0,,0,,2957.6,,,,,,,,0,,,,2.9,,,,0.0,,,,,,,-8.0,,-5.2,,-4.8,
2018-01-04 03:40:00,109,101.0,,,,7.7,8.5,,19.4,,0,,0,,2958.0,,,,,,,,0,,,,5.7,,,,0.0,,,,,,,-4.0,,-4.8,,-4.0,
2018-01-04 04:40:00,98,91.0,,,,10.0,12.0,,24.1,,0,,0,,2956.1,,,28.0,,,,,0,,,,8.2,,,,0.0,,,,,,,-3.3,,-3.6,,-3.3,
2018-01-04 05:40:00,95,97.0,,,,8.8,6.4,,16.8,,0,,0,,2965.4,,,,,,,,0,,,,11.4,,,,0.0,,,,,,,-2.8,,-2.9,,-2.8,
2018-01-04 06:40:00,109,107.0,,,,5.6,4.9,,13.6,,0,,0,,2970.9,,,,,,,,0,,,,7.5,,,,0.0,,,,,,,-2.1,,-2.5,,-2.1,
2018-01-04 07:40:00,107,116.0,,,,6.1,5.1,,20.2,,0,,0,,2973.4,,,,,,,,1,,,,9.1,,,,0.0,,,,,,,-1.5,,-1.7,,-1.3,
2018-01-04 08:40:00,105,109.0,,,,5.1,5.0,,11.6,,0,,0,,2983.9,,,,,,,,21,,,,6.7,,,,0.0,,,,,,,-1.6,,-0.9,,-0.8,
2018-01-04 09:40:00,100,111.0,,,,7.2,4.9,,18.1,,0,,0,,2989.3,,,,,,,,55,,,,15.0,,,,0.0,,,,,,,-1.3,,-1.2,,-1.3,
2018-01-04 10:40:00,108,91.0,,,,5.6,2.4,,17.5,,0,,0,,2991.9,,,,,,,,88,,,,7.7,,,,0.0,,,,,,,-0.8,,-0.5,,-0.5,
2018-01-04 11:40:00,146,209.0,,,,3.5,0.5,,15.6,,0,,0,,2998.1,,,,,,,,112,,,,3.0,,,,0.0,,,,,,,-0.6,,0.1,,0.5,
2018-01-04 12:40:00,170,142.0,,,,3.5,2.5,,12.0,,1,,0,,3000.7,,,,,,,,108,,,,3.0,,,,0.0,,,,,,,-0.9,,0.3,,0.2,
2018-01-04 13:40:00,112,106.0,,,,5.0,5.8,,14.1,,0,,0,,2999.3,,,,,,,,76,,,,5.3,,,,0.0,,,,,,,-1.0,,-0.1,,-0.5,
2018-01-04 14:40:00,110,122.0,,,,5.6,3.9,,13.7,,0,,0,,3002.1,,,,,,,,47,,,,6.2,,,,0.0,,,,,,,-1.1,,-0.7,,-0.7,
2018-01-04 15:40:00,117,119.0,,,,4.1,4.8,,13.4,,0,,0,,3001.2,,,,,,,,7,,,,3.9,,,,0.0,,,,,,,-1.4,,-0.5,,-0.6,
2018-01-04 16:40:00,108,139.0,,,,3.2,1.1,,8.7,,0,,0,,2999.2,,,,,,,,0,,,,2.4,,,,0.0,,,,,,,-1.5,,-0.3,,0.0,
2018-01-04 17:40:00,84,97.0,,,,3.5,3.8,,8.0,,0,,0,,2998.6,,,,,,,,0,,,,0.2,,,,0.0,,,,,,,-1.5,,-0.3,,-0.3,
2018-01-04 18:40:00,92,87.0,,,,3.8,3.3,,8.3,,0,,0,,2995.8,,,,,,,,0,,,,0.3,,,,0.0,,,,,,,-1.5,,-0.6,,-0.7,
2018-01-04 19:40:00,105,122.0,,,,2.8,1.0,,8.5,,0,,0,,2987.8,,,,,,,,0,,,,0.2,,,,0.0,,,,,,,-2.9,,-0.7,,-0.4,
2018-01-04 20:40:00,287,279.0,,,,3.9,3.0,,18.3,,0,,0,,2989.2,,,,,,,,0,,,,0.4,,,,0.0,,,,,,,-2.8,,-0.6,,-0.8,
2018-01-04 21:40:00,95,101.0,,,,2.5,3.7,,5.9,,0,,0,,2987.2,,,,,,,,0,,,,1.0,,,,0.0,,,,,,,-1.9,,-1.4,,-1.3,
2018-01-04 22:40:00,88,103.0,,,,2.4,2.4,,4.1,,0,,0,,2989.9,,,,,,,,0,,,,1.0,,,,0.0,,,,,,,-2.1,,-1.4,,-1.0,
2018-01-04 23:40:00,88,136.0,,,,3.5,1.2,,12.5,,0,,0,,2987.0,,,,,,,,0,,,,0.2,,,,0.0,,,,,,,-3.5,,-0.9,,-0.3,
2018-01-05 00:40:00,30,68.0,,,,3.9,2.6,,14.7,,0,,0,,2985.8,,,,,,,,0,,,,0.1,,,,0.0,,,,,,,-3.5,-5.0,-0.9,,-1.5,0.4
2018-01-05 01:40:00,346,271.0,,,,2.2,2.8,,5.9,,0,,0,,2984.2,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-5.4,,-1.7,,-2.3,
2018-01-05 02:40:00,278,325.0,,,,2.0,0.4,,5.8,,0,,0,,2983.0,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-6.4,,-1.5,,-1.3,
2018-01-05 03:40:00,303,310.0,,,,3.4,4.0,,10.7,,0,,0,,2976.5,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-7.8,,-1.3,,-0.8,
2018-01-05 04:40:00,55,128.0,,,,2.1,1.2,,5.7,,0,,0,,2971.1,,,45.0,,,,,0,,,,0.0,,,,0.0,,,,,,,-8.4,,-1.5,,-2.0,
2018-01-05 05:40:00,50,77.0,,,,3.2,3.5,,9.8,,0,,0,,2963.6,,,,,,,,0,,,,0.1,,,,0.0,,,,,,,-7.0,,-1.5,,-3.2,
2018-01-05 06:40:00,299,303.0,,,,2.0,0.9,,4.7,,0,,0,,2964.4,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-9.8,,-2.1,,-1.6,
2018-01-05 07:40:00,264,259.0,,,,2.5,1.4,,6.9,,0,,0,,2970.8,,,,,,,,23,,,,0.0,,,,0.0,,,,,,,-9.6,,-1.5,,-1.0,
2018-01-05 08:40:00,265,291.0,,,,2.3,2.7,,8.9,,0,,0,,2972.6,,,,,,,,131,,,,0.0,,,,0.0,,,,,,,-7.0,,-0.6,,-0.6,
2018-01-05 09:40:00,297,295.0,,,,4.4,4.8,,12.0,,0,,0,,2977.8,,,,,,,,176,,,,0.0,,,,0.0,,,,,,,-5.2,,-0.2,,-0.1,
2018-01-05 10:40:00,85,76.0,,,,3.2,4.7,,7.5,,0,,0,,2974.4,,,,,,,,260,,,,0.0,,,,0.0,,,,,,,-4.1,,-0.1,,-0.2,
2018-01-05 11:40:00,309,295.0,,,,3.6,4.6,,9.3,,0,,0,,2969.7,,,,,,,,246,,,,0.0,,,,0.0,,,,,,,-1.9,,-0.7,,-1.0,
2018-01-05 12:40:00,283,272.0,,,,5.8,6.1,,12.0,,0,,0,,2967.1,,,,,,,,200,,,,0.1,,,,0.0,,,,,,,-1.7,,-0.7,,-0.7,
2018-01-05 13:40:00,278,285.0,,,,6.1,6.1,,11.0,,0,,0,,2964.1,,,,,,,,156,,,,0.1,,,,0.0,,,,,,,-1.7,,-0.4,,-0.6,
2018-01-05 14:40:00,272,264.0,,,,7.2,7.1,,17.0,,0,,0,,2962.7,,,,,,,,85,,,,0.0,,,,0.0,,,,,,,-3.9,,0.2,,0.4,
2018-01-05 15:40:00,285,286.0,,,,8.0,6.4,,16.6,,0,,0,,2962.2,,,,,,,,20,,,,0.2,,,,0.0,,,,,,,-4.3,,0.0,,0.1,
2018-01-05 16:40:00,290,287.0,,,,5.9,6.5,,15.3,,0,,0,,2962.3,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-4.9,,-0.3,,-0.4,
2018-01-05 17:40:00,296,319.0,,,,6.1,3.8,,13.9,,0,,0,,2960.2,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-4.9,,-0.4,,-1.0,
2018-01-05 18:40:00,310,313.0,,,,4.0,4.0,,8.9,,0,,0,,2957.5,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-4.8,,-1.6,,-1.9,
2018-01-05 19:40:00,286,297.0,,,,4.7,3.4,,8.7,,0,,0,,2953.6,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-4.2,,-4.2,,-4.1,
2018-01-05 20:40:00,298,275.0,,,,4.0,4.4,,9.1,,0,,0,,2954.4,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-4.8,,-3.6,,-4.8,
2018-01-05 21:40:00,286,212.0,,,,5.3,1.5,,8.4,,0,,0,,2959.2,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-4.8,,-4.4,,-3.3,
2018-01-05 22:40:00,277,308.0,,,,3.2,3.7,,7.1,,0,,0,,2958.8,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-4.7,,-4.6,,-4.7,
2018-01-05 23:40:00,293,300.0,,,,4.4,4.7,,9.3,,0,,0,,2955.5,,,,,,,,0,,,,0.1,,,,0.0,,,,,,,-4.8,,-4.7,,-4.8,
2018-01-06 00:40:00,290,293.0,,,,5.0,4.2,,8.0,,0,,0,,2952.3,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-4.8,-5.7,-4.8,,-4.8,-4.1
2018-01-06 01:40:00,288,289.0,,,,4.3,4.7,,8.7,,0,,0,,2950.9,,,,,,,,0,,,,0.3,,,,0.0,,,,,,,-5.1,,-4.9,,-5.0,
2018-01-06 02:40:00,298,313.0,,,,5.7,5.0,,9.5,,0,,0,,2949.0,,,,,,,,0,,,,0.2,,,,0.0,,,,,,,-4.9,,-4.9,,-4.9,
2018-01-06 03:40:00,299,303.0,,,,6.6,6.9,,9.1,,0,,0,,2944.5,,,,,,,,0,,,,0.4,,,,0.0,,,,,,,-5.1,,-5.1,,-5.1,
2018-01-06 04:40:00,299,300.0,,,,6.5,6.7,,10.1,,0,,0,,2945.9,,,3.0,,,,,0,,,,0.1,,,,0.0,,,,,,,-4.9,,-5.0,,-4.9,
2018-01-06 05:40:00,301,300.0,,,,7.0,6.7,,10.3,,0,,0,,2947.1,,,,,,,,0,,,,0.7,,,,0.0,,,,,,,-5.4,,-5.3,,-5.4,
2018-01-06 06:40:00,292,291.0,,,,7.7,8.3,,10.9,,0,,0,,2950.0,,,,,,,,0,,,,0.9,,,,0.0,,,,,,,-5.5,,-5.5,,-5.5,
2018-01-06 07:40:00,303,308.0,,,,8.6,10.2,,12.6,,0,,0,,2951.1,,,,,,,,11,,,,0.7,,,,0.0,,,,,,,-5.5,,-5.5,,-5.5,
2018-01-06 08:40:00,301,298.0,,,,9.2,8.4,,13.4,,0,,0,,2956.1,,,,,,,,62,,,,0.3,,,,0.0,,,,,,,-5.6,,-5.6,,-5.6,
2018-01-06 09:40:00,292,286.0,,,,9.6,9.9,,14.1,,0,,0,,2961.7,,,,,,,,107,,,,0.1,,,,0.0,,,,,,,-5.4,,-5.5,,-5.4,
2018-01-06 10:40:00,289,291.0,,,,10.2,9.1,,15.3,,0,,0,,2961.7,,,,,,,,152,,,,0.0,,,,0.0,,,,,,,-5.4,,-5.5,,-5.4,
2018-01-06 11:40:00,289,292.0,,,,10.0,10.5,,15.1,,0,,0,,2961.7,,,,,,,,156,,,,0.0,,,,0.0,,,,,,,-5.4,,-5.4,,-5.4,
2018-01-06 12:40:00,291,291.0,,,,8.8,7.6,,13.5,,0,,0,,2963.1,,,,,,,,157,,,,0.0,,,,0.0,,,,,,,-5.2,,-5.3,,-5.2,
2018-01-06 13:40:00,290,300.0,,,,7.2,7.0,,10.0,,0,,0,,2966.2,,,,,,,,91,,,,0.0,,,,0.0,,,,,,,-5.2,,-5.2,,-5.2,
2018-01-06 14:40:00,289,299.0,,,,7.1,6.9,,10.0,,0,,0,,2970.8,,,,,,,,49,,,,0.0,,,,0.0,,,,,,,-5.3,,-5.2,,-5.0,
2018-01-06 15:40:00,302,300.0,,,,6.8,7.3,,11.3,,0,,0,,2970.6,,,,,,,,6,,,,0.0,,,,0.0,,,,,,,-5.8,,-5.1,,-5.1,
2018-01-06 16:40:00,299,303.0,,,,7.1,7.4,,10.6,,0,,0,,2976.2,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-5.5,,-4.8,,-4.9,
2018-01-06 17:40:00,310,295.0,,,,7.4,7.6,,11.5,,0,,0,,2978.1,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-5.2,,-4.8,,-5.0,
2018-01-06 18:40:00,304,293.0,,,,7.4,7.0,,10.5,,0,,0,,2983.3,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-5.0,,-4.8,,-5.0,
2018-01-06 19:40:00,297,297.0,,,,7.4,7.5,,11.4,,0,,0,,2986.0,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-4.7,,-4.8,,-4.7,
2018-01-06 20:40:00,296,289.0,,,,8.6,9.0,,15.8,,0,,0,,2989.7,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-4.4,,-4.5,,-4.4,
2018-01-06 21:40:00,288,277.0,,,,8.9,9.0,,13.8,,0,,0,,2991.6,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-4.5,,-4.4,,-4.5,
2018-01-06 22:40:00,292,290.0,,,,9.1,7.0,,15.3,,0,,0,,2997.4,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-4.2,,-4.3,,-4.2,
2018-01-06 23:40:00,296,309.0,,,,7.8,7.0,,13.1,,0,,0,,2996.3,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-4.2,,-4.2,,-4.2,
2018-01-07 00:40:00,301,294.0,,,,7.3,6.9,,12.9,,0,,0,,2996.3,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-4.2,-4.5,-4.2,,-4.2,-2.0
2018-01-07 01:40:00,304,306.0,,,,7.6,6.9,,16.2,,0,,0,,2999.0,,,,,,,,0,,,,0.1,,,,0.0,,,,,,,-4.3,,-4.1,,-3.9,
