,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,162,350.0,,,0.2,1.4,0.6,,4.0,,0,,0,,,,,,,,,,0,,,,0.3,,,,0.0,,,,,,,0.2,-1.2,0.3,,0.2,1.8
2018-01-01 01:40:00,27,322.0,,,,1.5,1.9,,2.8,,0,,0,,,,,,,,,,0,,,,0.9,,,,0.0,,,,,,,-0.2,,0.1,,-0.2,
2018-01-01 02:40:00,342,61.0,,,,0.9,0.5,,1.8,,0,,0,,,,,,,,,,0,,,,0.4,,,,0.0,,,,,,,0.1,,0.0,,0.1,
2018-01-01 03:40:00,108,0.0,,,,1.2,0.0,,2.8,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,0.1,,0.1,,0.1,
2018-01-01 04:40:00,321,308.0,,,,2.1,2.3,,3.1,,0,,0,,,,,,,,,,0,,,,0.5,,,,0.0,,,,,,,-0.1,,-0.3,,-0.1,
2018-01-01 05:40:00,315,312.0,,,,3.9,4.3,,6.8,,0,,0,,,,,,,,,,0,,,,0.3,,,,0.0,,,,,,,-0.6,,-0.7,,-0.6,
2018-01-01 06:40:00,318,310.0,,,,7.2,8.4,,12.7,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-0.8,,-0.6,,-0.8,
2018-01-01 07:40:00,313,314.0,,,,8.7,8.4,,14.9,,0,,0,,,,,,,,,,11,,,,0.0,,,,0.0,,,,,,,-1.2,,-1.1,,-1.2,
2018-01-01 08:40:00,312,305.0,,,,8.3,8.5,,13.6,,0,,0,,,,,,,,,,77,,,,0.0,,,,3.0,,,,,,,-0.8,,-1.0,,-0.8,
2018-01-01 09:40:00,303,313.0,,,,7.6,5.6,,13.5,,0,,0,,,,,,,,,,187,,,,0.0,,,,17.0,,,,,,,-0.7,,-0.5,,0.2,
2018-01-01 10:40:00,313,319.0,,,,5.9,5.2,,11.4,,0,,0,,,,,,,,,,272,,,,0.0,,,,30.0,,,,,,,-0.2,,0.7,,1.3,
2018-01-01 11:40:00,298,299.0,,,,6.3,6.4,,11.5,,0,,0,,,,,,,,,,398,,,,0.0,,,,60.0,,,,,,,0.6,,1.5,,1.5,
2018-01-01 12:40:00,307,305.0,,,,6.8,6.0,,11.4,,0,,0,,,,,,,,,,368,,,,0.0,,,,60.0,,,,,,,-2.4,,1.5,,1.6,
2018-01-01 13:40:00,311,313.0,,,,4.5,2.8,,8.7,,0,,0,,,,,,,,,,282,,,,0.0,,,,60.0,,,,,,,-1.4,,1.6,,1.7,
2018-01-01 14:40:00,308,303.0,,,,2.5,2.1,,4.3,,0,,0,,,,,,,,,,116,,,,0.0,,,,27.0,,,,,,,-6.4,,0.7,,0.5,
2018-01-01 15:40:00,310,304.0,,,,3.7,5.2,,6.3,,0,,0,,,,,,,,,,34,,,,0.0,,,,15.0,,,,,,,-9.6,,0.2,,0.0,
2018-01-01 16:40:00,310,310.0,,,,3.5,2.2,,6.6,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-10.0,,0.0,,0.3,
2018-01-01 17:40:00,180,165.0,,,,3.2,4.1,,5.4,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-10.4,,-0.2,,-0.4,
2018-01-01 18:40:00,159,143.0,,,,4.3,4.6,,6.5,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-10.3,,-0.5,,-0.1,
2018-01-01 19:40:00,129,116.0,,,,4.0,3.6,,6.2,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-10.1,,-0.3,,-0.5,
2018-01-01 20:40:00,96,110.0,,,,5.2,6.4,,7.4,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-10.2,,0.1,,-0.1,
2018-01-01 21:40:00,120,128.0,,,,6.6,4.8,,9.8,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-10.5,,-0.3,,-0.2,
2018-01-01 22:40:00,31,320.0,,,,2.6,3.4,,4.6,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-9.8,,-0.3,,-0.5,
2018-01-01 23:40:00,321,321.0,,,,4.5,5.3,,7.4,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-8.5,,-0.7,,-0.9,
2018-01-02 00:40:00,316,315.0,,,0.6,7.7,9.8,,15.5,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-7.3,-2.5,-0.5,,-0.5,-0.1
2018-01-02 01:40:00,304,298.0,,,,9.5,8.5,,15.0,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-9.0,,-0.7,,-0.8,
2018-01-02 02:40:00,306,315.0,,,,8.5,6.4,,14.2,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-9.6,,-1.1,,-1.3,
2018-01-02 03:40:00,314,303.0,,,,7.3,8.3,,12.3,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-9.8,,-1.6,,-1.7,
2018-01-02 04:40:00,308,306.0,,,,10.5,12.4,,17.3,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-10.2,,-1.7,,-1.6,
2018-01-02 05:40:00,300,300.0,,,,7.9,6.9,,18.0,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-10.3,,-1.9,,-2.2,
2018-01-02 06:40:00,301,299.0,,,,8.2,8.5,,12.6,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-9.4,,-2.3,,-2.4,
2018-01-02 07:40:00,304,310.0,,,,8.7,8.1,,15.0,,0,,0,,,,,,,,,,31,,,,0.0,,,,4.0,,,,,,,-8.7,,-2.3,,-2.0,
2018-01-02 08:40:00,309,309.0,,,,7.8,6.5,,14.9,,0,,0,,,,,,,,,,167,,,,0.0,,,,60.0,,,,,,,-8.4,,-1.8,,-1.5,
2018-01-02 09:40:00,311,309.0,,,,6.2,7.0,,10.5,,0,,0,,,,,,,,,,285,,,,0.0,,,,60.0,,,,,,,-9.3,,-1.0,,-0.8,
2018-01-02 10:40:00,311,310.0,,,,7.0,5.6,,12.7,,0,,0,,,,,,,,,,362,,,,0.0,,,,60.0,,,,,,,-9.6,,-0.6,,-0.2,
2018-01-02 11:40:00,305,309.0,,,,6.5,6.6,,12.7,,0,,0,,,,,,,,,,386,,,,0.0,,,,60.0,,,,,,,-10.5,,-0.3,,-0.3,
2018-01-02 12:40:00,304,305.0,,,,7.4,7.1,,14.9,,0,,0,,,,,,,,,,351,,,,0.0,,,,60.0,,,,,,,-11.2,,-0.3,,-0.3,
2018-01-02 13:40:00,303,302.0,,,,6.4,6.2,,11.6,,0,,0,,,,,,,,,,279,,,,0.0,,,,60.0,,,,,,,-12.1,,-0.3,,-0.3,
2018-01-02 14:40:00,301,303.0,,,,7.5,7.8,,12.7,,0,,0,,,,,,,,,,145,,,,0.0,,,,50.0,,,,,,,-12.6,,-0.8,,-1.2,
2018-01-02 15:40:00,302,310.0,,,,7.5,6.3,,13.8,,0,,0,,,,,,,,,,20,,,,0.0,,,,3.0,,,,,,,-13.4,,-1.6,,-1.8,
2018-01-02 16:40:00,315,321.0,,,,7.0,6.5,,11.2,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-14.1,,-1.8,,-1.8,
2018-01-02 17:40:00,316,311.0,,,,6.0,5.9,,9.3,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-16.3,,-1.8,,-1.6,
2018-01-02 18:40:00,317,318.0,,,,5.6,4.0,,8.9,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-15.8,,-1.6,,-1.6,
2018-01-02 19:40:00,310,306.0,,,,5.4,5.8,,10.1,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-15.3,,-1.6,,-1.5,
2018-01-02 20:40:00,323,319.0,,,,6.1,4.5,,11.5,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-11.1,,-0.9,,-0.2,
2018-01-02 21:40:00,316,305.0,,,,5.0,5.4,,6.9,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-11.0,,-0.2,,-0.3,
2018-01-02 22:40:00,313,315.0,,,,5.0,4.8,,7.0,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-11.5,,-0.4,,-0.6,
2018-01-02 23:40:00,317,320.0,,,,4.7,3.3,,7.2,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-11.1,,-0.7,,-0.7,
2018-01-03 00:40:00,326,320.0,,,0.1,2.6,1.5,,4.5,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-12.5,-1.6,-0.7,,-0.9,1.1
2018-01-03 01:40:00,326,334.0,,,,2.7,1.5,,5.4,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-11.6,,-0.8,,-0.8,
2018-01-03 02:40:00,327,311.0,,,,4.0,5.0,,7.1,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-10.4,,-0.5,,-0.3,
2018-01-03 03:40:00,323,336.0,,,,4.0,3.0,,7.6,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-11.2,,-0.5,,-0.6,
2018-01-03 04:40:00,326,328.0,,,,2.7,2.8,,6.9,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-12.1,,-0.7,,-0.7,
2018-01-03 05:40:00,193,224.0,,,,2.9,1.1,,5.7,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-13.6,,-0.8,,-0.7,
2018-01-03 06:40:00,208,290.0,,,,3.1,1.4,,6.2,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-12.5,,-1.1,,-1.1,
2018-01-03 07:40:00,180,178.0,,,,3.0,2.5,,6.9,,0,,0,,,,,,,,,,51,,,,0.0,,,,19.0,,,,,,,-10.9,,-0.4,,0.4,
2018-01-03 08:40:00,184,224.0,,,,4.4,2.0,,12.6,,0,,0,,,,,,,,,,27,,,,0.0,,,,0.0,,,,,,,-10.5,,-0.5,,-0.8,
2018-01-03 09:40:00,215,248.0,,,,4.0,0.6,,13.4,,0,,0,,,,,,,,,,44,,,,0.0,,,,0.0,,,,,,,-9.3,,-0.6,,-0.4,
2018-01-03 10:40:00,203,235.0,,,,3.0,2.1,,7.6,,0,,0,,,,,,,,,,52,,,,0.0,,,,0.0,,,,,,,-7.5,,-0.7,,-0.8,
2018-01-03 11:40:00,262,282.0,,,,4.4,2.5,,13.9,,0,,0,,,,,,,,,,64,,,,0.0,,,,0.0,,,,,,,-4.8,,-1.1,,-1.2,
2018-01-03 12:40:00,315,317.0,,,,6.9,9.9,,17.1,,0,,0,,,,,,,,,,31,,,,0.3,,,,0.0,,,,,,,-0.6,,-0.8,,0.2,
2018-01-03 13:40:00,320,315.0,,,,7.3,8.3,,16.5,,0,,0,,,,,,,,,,55,,,,0.1,,,,0.0,,,,,,,-0.1,,0.7,,0.4,
2018-01-03 14:40:00,309,295.0,,,,12.1,13.6,,25.7,,0,,0,,,,,,,,,,16,,,,0.3,,,,0.0,,,,,,,-0.6,,-0.6,,-0.6,
2018-01-03 15:40:00,308,309.0,,,,14.0,14.1,,24.2,,0,,0,,,,,,,,,,5,,,,0.0,,,,0.0,,,,,,,-3.5,,-0.4,,-0.6,
2018-01-03 16:40:00,303,312.0,,,,15.1,9.3,,28.2,,0,,0,,,,,,,,,,0,,,,0.1,,,,0.0,,,,,,,-5.8,,-1.0,,-0.7,
2018-01-03 17:40:00,313,316.0,,,,10.9,12.0,,17.2,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-7.6,,-0.4,,-0.3,
2018-01-03 18:40:00,314,310.0,,,,11.8,11.2,,19.5,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-7.5,,-0.2,,-0.2,
2018-01-03 19:40:00,307,305.0,,,,9.3,7.8,,16.5,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-7.6,,-0.4,,-0.5,
2018-01-03 20:40:00,315,320.0,,,,6.5,5.6,,10.4,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-8.0,,-0.5,,-0.3,
2018-01-03 21:40:00,312,303.0,,,,4.8,5.0,,8.8,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-6.8,,-0.5,,-0.6,
2018-01-03 22:40:00,313,325.0,,,,4.2,4.7,,7.2,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-5.5,,-0.9,,-0.9,
2018-01-03 23:40:00,313,309.0,,,,3.9,3.7,,6.7,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-4.3,,-1.2,,-1.6,
2018-01-04 00:40:00,324,330.0,,,0.1,2.9,3.7,,5.5,,0,,0,,,,,,,,,,0,,,,0.1,,,,0.0,,,,,,,-2.1,-2.3,-1.9,,-1.5,5.5
2018-01-04 01:40:00,319,313.0,,,,5.6,6.0,,9.2,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-2.5,,-1.4,,-1.5,
2018-01-04 02:40:00,321,322.0,,,,7.3,7.4,,10.9,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-3.2,,-1.2,,-0.4,
2018-01-04 03:40:00,321,322.0,,,,6.5,6.4,,9.4,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-2.7,,-0.5,,-0.3,
2018-01-04 04:40:00,321,316.0,,,,6.0,4.8,,10.8,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-0.9,,-0.6,,-0.7,
2018-01-04 05:40:00,321,319.0,,,,5.4,6.0,,8.0,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-0.3,,-0.6,,-0.3,
2018-01-04 06:40:00,316,301.0,,,,5.1,4.6,,8.5,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,0.7,,0.3,,0.7,
2018-01-04 07:40:00,320,327.0,,,,4.6,4.5,,6.9,,0,,0,,,,,,,,,,13,,,,0.0,,,,0.0,,,,,,,1.1,,0.7,,1.1,
2018-01-04 08:40:00,325,328.0,,,,3.1,3.5,,5.4,,0,,0,,,,,,,,,,37,,,,0.0,,,,0.0,,,,,,,1.2,,1.5,,1.8,
2018-01-04 09:40:00,318,312.0,,,,2.9,1.9,,4.6,,0,,0,,,,,,,,,,82,,,,0.0,,,,0.0,,,,,,,0.8,,2.1,,2.2,
2018-01-04 10:40:00,325,349.0,,,,1.7,1.2,,4.2,,0,,0,,,,,,,,,,315,,,,0.0,,,,51.0,,,,,,,0.5,,3.7,,4.4,
2018-01-04 11:40:00,333,330.0,,,,1.8,2.3,,5.8,,0,,0,,,,,,,,,,391,,,,0.0,,,,60.0,,,,,,,0.2,,5.0,,4.3,
2018-01-04 12:40:00,327,322.0,,,,4.4,5.3,,7.7,,0,,0,,,,,,,,,,352,,,,0.0,,,,60.0,,,,,,,1.4,,3.6,,3.5,
2018-01-04 13:40:00,319,303.0,,,,5.6,2.7,,12.0,,0,,0,,,,,,,,,,257,,,,0.0,,,,60.0,,,,,,,1.2,,3.8,,3.7,
2018-01-04 14:40:00,303,210.0,,,,2.1,0.7,,5.9,,0,,0,,,,,,,,,,145,,,,0.0,,,,60.0,,,,,,,0.7,,3.2,,2.9,
2018-01-04 15:40:00,280,312.0,,,,1.7,1.6,,5.0,,0,,0,,,,,,,,,,24,,,,0.0,,,,14.0,,,,,,,1.4,,2.1,,1.5,
2018-01-04 16:40:00,319,322.0,,,,3.6,4.2,,9.4,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,2.6,,2.7,,4.0,
2018-01-04 17:40:00,322,345.0,,,,3.7,1.7,,7.9,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,1.7,,4.8,,5.3,
2018-01-04 18:40:00,185,201.0,,,,5.6,5.4,,9.3,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,1.8,,4.6,,4.6,
2018-01-04 19:40:00,228,284.0,,,,4.7,2.3,,9.8,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,1.4,,4.5,,4.2,
2018-01-04 20:40:00,250,330.0,,,,3.7,1.6,,8.9,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,1.4,,4.1,,3.6,
2018-01-04 21:40:00,334,318.0,,,,3.8,4.3,,10.2,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,1.2,,3.7,,4.3,
2018-01-04 22:40:00,320,315.0,,,,4.1,3.8,,7.3,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,0.5,,4.7,,4.5,
2018-01-04 23:40:00,328,327.0,,,,4.1,4.5,,7.5,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,0.5,,4.5,,4.6,
2018-01-05 00:40:00,328,328.0,,,0.1,4.1,4.3,,8.3,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-0.2,0.5,5.5,,5.5,8.0
2018-01-05 01:40:00,329,330.0,,,,2.9,3.1,,7.8,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-0.1,,5.5,,5.3,
2018-01-05 02:40:00,337,342.0,,,,3.0,2.4,,5.2,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-0.7,,6.2,,6.2,
2018-01-05 03:40:00,332,330.0,,,,2.0,2.5,,6.4,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-0.8,,6.2,,6.4,
2018-01-05 04:40:00,333,317.0,,,,3.3,1.9,,7.0,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-1.8,,6.6,,6.8,
2018-01-05 05:40:00,312,315.0,,,,1.7,1.2,,4.2,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-0.7,,5.9,,5.3,
2018-01-05 06:40:00,321,177.0,,,,2.0,1.0,,4.5,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,-1.2,,5.0,,4.9,
2018-01-05 07:40:00,152,137.0,,,,1.7,1.9,,4.3,,0,,0,,,,,,,,,,32,,,,0.0,,,,9.0,,,,,,,-0.8,,5.1,,6.0,
2018-01-05 08:40:00,307,330.0,,,,1.3,1.4,,2.6,,0,,0,,,,,,,,,,164,,,,0.0,,,,60.0,,,,,,,-0.7,,6.9,,6.4,
2018-01-05 09:40:00,135,138.0,,,,2.5,5.2,,6.4,,0,,0,,,,,,,,,,290,,,,0.0,,,,58.0,,,,,,,0.6,,6.8,,4.1,
2018-01-05 10:40:00,143,207.0,,,,3.3,2.6,,6.5,,0,,0,,,,,,,,,,288,,,,0.0,,,,52.0,,,,,,,1.0,,1.5,,1.0,
2018-01-05 11:40:00,325,331.0,,,,4.2,6.1,,9.0,,0,,0,,,,,,,,,,200,,,,0.0,,,,17.0,,,,,,,0.6,,0.7,,0.6,
2018-01-05 12:40:00,331,329.0,,,,4.6,1.9,,8.3,,0,,0,,,,,,,,,,109,,,,0.0,,,,0.0,,,,,,,1.4,,0.9,,1.4,
2018-01-05 13:40:00,324,328.0,,,,3.3,2.5,,5.4,,0,,0,,,,,,,,,,59,,,,0.0,,,,0.0,,,,,,,1.7,,1.5,,1.7,
2018-01-05 14:40:00,225,199.0,,,,2.2,2.4,,5.1,,0,,0,,,,,,,,,,38,,,,0.0,,,,0.0,,,,,,,2.1,,2.0,,2.1,
2018-01-05 15:40:00,212,310.0,,,,2.3,0.4,,5.3,,0,,0,,,,,,,,,,4,,,,0.0,,,,0.0,,,,,,,2.0,,2.0,,2.0,
2018-01-05 16:40:00,205,199.0,,,,1.8,2.3,,4.8,,0,,0,,,,,,,,,,0,,,,0.2,,,,0.0,,,,,,,1.8,,1.9,,1.8,
2018-01-05 17:40:00,184,177.0,,,,1.4,1.3,,3.6,,0,,0,,,,,,,,,,0,,,,0.4,,,,0.0,,,,,,,1.8,,1.8,,1.8,
2018-01-05 18:40:00,173,173.0,,,,2.7,3.0,,4.4,,0,,0,,,,,,,,,,0,,,,0.1,,,,0.0,,,,,,,1.9,,1.7,,1.9,
2018-01-05 19:40:00,156,149.0,,,,3.2,3.3,,4.6,,0,,0,,,,,,,,,,0,,,,0.2,,,,0.0,,,,,,,1.5,,1.6,,1.5,
2018-01-05 20:40:00,147,144.0,,,,3.4,3.3,,5.2,,0,,0,,,,,,,,,,0,,,,0.2,,,,0.0,,,,,,,1.6,,1.6,,1.6,
2018-01-05 21:40:00,125,113.0,,,,4.8,5.1,,6.1,,0,,0,,,,,,,,,,0,,,,0.4,,,,0.0,,,,,,,1.1,,1.2,,1.1,
2018-01-05 22:40:00,122,122.0,,,,4.4,4.5,,6.1,,0,,0,,,,,,,,,,0,,,,0.9,,,,0.0,,,,,,,1.1,,1.2,,1.1,
2018-01-05 23:40:00,119,116.0,,,,4.8,5.5,,7.9,,0,,0,,,,,,,,,,0,,,,0.9,,,,0.0,,,,,,,0.9,,0.9,,0.9,
2018-01-06 00:40:00,124,131.0,,,0.0,7.2,7.2,,10.5,,0,,0,,,,,,,,,,0,,,,0.5,,,,0.0,,,,,,,0.3,0.2,0.5,,0.3,1.8
2018-01-06 01:40:00,134,136.0,,,,7.0,6.4,,9.9,,0,,0,,,,,,,,,,0,,,,0.3,,,,0.0,,,,,,,0.5,,0.3,,0.5,
2018-01-06 02:40:00,131,124.0,,,,6.4,6.5,,9.3,,0,,0,,,,,,,,,,0,,,,0.5,,,,0.0,,,,,,,0.6,,0.6,,0.6,
2018-01-06 03:40:00,132,129.0,,,,6.0,6.4,,8.3,,0,,0,,,,,,,,,,0,,,,0.5,,,,0.0,,,,,,,0.4,,0.7,,0.4,
2018-01-06 04:40:00,127,124.0,,,,6.2,5.4,,9.1,,0,,0,,,,,,,,,,0,,,,0.2,,,,0.0,,,,,,,0.6,,0.4,,0.6,
2018-01-06 05:40:00,137,144.0,,,,5.8,5.4,,9.8,,0,,0,,,,,,,,,,0,,,,0.1,,,,0.0,,,,,,,0.8,,0.7,,0.8,
2018-01-06 06:40:00,142,135.0,,,,5.4,5.9,,8.5,,0,,0,,,,,,,,,,0,,,,0.6,,,,0.0,,,,,,,0.6,,0.7,,0.6,
2018-01-06 07:40:00,138,136.0,,,,6.6,5.3,,9.1,,0,,0,,,,,,,,,,1,,,,0.7,,,,0.0,,,,,,,0.5,,0.5,,0.5,
2018-01-06 08:40:00,131,136.0,,,,5.8,5.4,,8.5,,0,,0,,,,,,,,,,20,,,,0.6,,,,0.0,,,,,,,0.8,,0.6,,0.8,
2018-01-06 09:40:00,139,139.0,,,,4.8,4.6,,7.6,,0,,0,,,,,,,,,,40,,,,0.3,,,,0.0,,,,,,,1.4,,1.2,,1.4,
2018-01-06 10:40:00,145,141.0,,,,4.5,4.5,,8.2,,0,,0,,,,,,,,,,51,,,,0.7,,,,0.0,,,,,,,1.6,,1.4,,1.6,
2018-01-06 11:40:00,146,158.0,,,,4.6,4.5,,7.2,,0,,0,,,,,,,,,,62,,,,0.7,,,,0.0,,,,,,,1.3,,1.6,,1.3,
2018-01-06 12:40:00,167,148.0,,,,4.5,3.6,,8.7,,0,,0,,,,,,,,,,94,,,,0.2,,,,0.0,,,,,,,1.5,,1.4,,1.5,
2018-01-06 13:40:00,145,135.0,,,,3.3,2.1,,6.8,,0,,0,,,,,,,,,,57,,,,0.6,,,,0.0,,,,,,,1.7,,1.6,,1.7,
2018-01-06 14:40:00,118,117.0,,,,3.5,2.9,,5.4,,0,,0,,,,,,,,,,21,,,,1.3,,,,0.0,,,,,,,1.5,,1.6,,1.5,
2018-01-06 15:40:00,115,,,,,4.4,,,7.2,,0,,0,,,,,,,,,,5,,,,0.7,,,,0.0,,,,,,,1.3,,1.4,,,
2018-01-06 16:40:00,125,,,,,5.6,,,8.2,,0,,0,,,,,,,,,,0,,,,0.3,,,,0.0,,,,,,,1.3,,1.3,,,
2018-01-06 17:40:00,120,,,,,5.6,,,8.6,,0,,0,,,,,,,,,,0,,,,0.3,,,,0.0,,,,,,,1.3,,1.3,,,
2018-01-06 18:40:00,125,,,,,5.2,,,8.9,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,1.4,,1.3,,,
2018-01-06 19:40:00,122,,,,,6.3,,,8.6,,0,,0,,,,,,,,,,0,,,,0.1,,,,0.0,,,,,,,1.4,,1.4,,,
2018-01-06 20:40:00,115,,,,,6.4,,,9.1,,0,,0,,,,,,,,,,0,,,,0.1,,,,0.0,,,,,,,1.3,,1.4,,,
2018-01-06 21:40:00,117,,,,,6.7,,,9.1,,0,,0,,,,,,,,,,0,,,,0.5,,,,0.0,,,,,,,1.3,,1.4,,,
2018-01-06 22:40:00,116,,,,,6.3,,,10.4,,0,,0,,,,,,,,,,0,,,,1.2,,,,0.0,,,,,,,1.3,,1.3,,,
2018-01-06 23:40:00,129,,,,,6.4,,,10.2,,0,,0,,,,,,,,,,0,,,,1.0,,,,0.0,,,,,,,1.1,,1.2,,,
2018-01-07 00:40:00,125,,,,0.0,7.9,,,10.8,,0,,0,,,,,,,,,,0,,,,0.2,,,,0.0,,,,,,,1.3,1.0,1.2,,,2.5
2018-01-07 01:40:00,126,,,,,7.5,,,11.7,,0,,0,,,,,,,,,,0,,,,0.1,,,,0.0,,,,,,,1.5,,1.4,,,
2018-01-07 02:40:00,120,,,,,6.5,,,11.2,,0,,0,,,,,,,,,,0,,,,0.4,,,,0.0,,,,,,,1.6,,1.6,,,
2018-01-07 03:40:00,120,,,,,7.1,,,12.1,,0,,0,,,,,,,,,,0,,,,0.2,,,,0.0,,,,,,,1.7,,1.7,,,
2018-01-07 04:40:00,115,,,,,8.4,,,13.1,,0,,0,,,,,,,,,,0,,,,0.0,,,,0.0,,,,,,,1.6,,1.6,,,
2018-01-07 05:40:00,113,,,,,8.4,,,14.3,,0,,0,,,,,,,,,,0,,,,1.0,,,,0.0,,,,,,,1.3,,1.6,,,
2018-01-07 06:40:00,120,,,,,8.3,,,12.2,,0,,0,,,,,,,,,,0,,,,0.1,,,,0.0,,,,,,,1.6,,1.4,,,
2018-01-07 07:40:00,118,,,,,8.5,,,14.5,,0,,0,,,,,,,,,,1,,,,0.0,,,,0.0,,,,,,,2.0,,1.9,,,
2018-01-07 08:40:00,128,,,,,8.2,,,16.0,,0,,0,,,,,,,,,,6,,,,0.1,,,,0.0,,,,,,,2.1,,2.1,,,
2018-01-07 09:40:00,126,,,,,8.9,,,16.5,,0,,0,,,,,,,,,,31,,,,0.0,,,,0.0,,,,,,,2.3,,2.2,,,
2018-01-07 10:40:00,122,,,,,8.8,,,17.6,,0,,0,,,,,,,,,,55,,,,0.0,,,,0.0,,,,,,,2.5,,2.4,,,
2018-01-07 11:40:00,120,,,,,10.3,,,16.9,,0,,0,,,,,,,,,,73,,,,0.0,,,,0.0,,,,,,,2.5,,2.4,,,
2018-01-07 12:40:00,120,,,,,11.8,,,18.1,,0,,0,,,,,,,,,,62,,,,0.0,,,,0.0,,,,,,,2.3,,2.4,,,
2018-01-07 13:40:00,117,,,,,11.3,,,17.9,,0,,0,,,,,,,,,,54,,,,0.0,,,,0.0,,,,,,,2.3,,2.3,,,
