,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,259,273.0,,,,2.3,3.0,,5.0,,0,,0,,,316,,,,1011.7,,,,,,,0.0,,,,,,,,,,,1.3,2.4,2.9,,3.4,8.8
2018-01-01 01:40:00,257,207.0,,,,2.1,0.8,,4.9,,0,,0,,,330,,,,1012.7,,,,,,,0.0,,,,,,,,,,,1.3,,3.2,,3.1,
2018-01-01 02:40:00,90,325.0,,,,2.2,1.3,,7.1,,0,,0,,,331,,,,1012.9,,,,,,,0.0,,,,,,,,,,,3.9,,5.3,,7.4,
2018-01-01 03:40:00,251,232.0,,,,4.5,3.8,,12.3,,0,,0,,,336,,,,1015.0,,,,,,,0.4,,,,,,,,,,,2.6,,7.1,,6.5,
2018-01-01 04:40:00,198,226.0,,,,3.4,3.1,,10.5,,0,,0,,,325,,,,1015.1,,,,,,,0.0,,,,,,,,,,,0.6,,6.7,,6.8,
2018-01-01 05:40:00,227,191.0,,,,3.0,3.7,,9.0,,0,,0,,,315,,,,1015.5,,,,,,,0.0,,,,,,,,,,,0.1,,6.9,,6.6,
2018-01-01 06:40:00,232,234.0,,,,5.2,3.7,,14.0,,0,,0,,,311,,,,1015.4,,,,,,,0.0,,,,,,,,,,,-0.9,,7.3,,7.6,
2018-01-01 07:40:00,279,281.0,,,,2.3,2.0,,6.0,,0,,0,,,310,,,,1016.2,,,,,,,0.0,,,,,,,,,,,0.6,,6.5,,5.8,
2018-01-01 08:40:00,276,264.0,,,,4.2,7.5,,13.2,,0,,0,,,321,,,,1016.6,,,,,,,0.0,,,,,,,,,,,0.4,,6.5,,7.4,
2018-01-01 09:40:00,253,249.0,,,,6.0,4.1,,14.3,,0,,0,,,298,,,,1016.5,,,,,,,0.0,,,,,,,,,,,0.6,,7.2,,6.8,
2018-01-01 10:40:00,218,214.0,,,,3.3,4.0,,8.8,,0,,0,,,269,,,,1014.9,,,,,,,0.0,,,,,,,,,,,0.5,,6.8,,7.9,
2018-01-01 11:40:00,261,276.0,,,,3.4,2.0,,9.0,,0,,0,,,262,,,,1013.1,,,,,,,0.0,,,,,,,,,,,0.1,,8.5,,8.8,
2018-01-01 12:40:00,221,197.0,,,,3.5,3.6,,6.1,,0,,0,,,261,,,,1011.1,,,,,,,0.0,,,,,,,,,,,1.1,,8.7,,8.7,
2018-01-01 13:40:00,213,191.0,,,,3.9,5.0,,8.3,,0,,0,,,259,,,,1008.9,,,,,,,0.0,,,,,,,,,,,0.4,,8.6,,8.5,
2018-01-01 14:40:00,196,193.0,,,,5.3,5.6,,11.0,,0,,0,,,257,,,,1007.8,,,,,,,0.0,,,,,,,,,,,-0.6,,8.1,,8.0,
2018-01-01 15:40:00,194,199.0,,,,5.6,5.2,,10.0,,0,,0,,,269,,,,1006.3,,,,,,,0.0,,,,,,,,,,,-1.0,,7.5,,7.3,
2018-01-01 16:40:00,188,196.0,,,,6.3,6.2,,10.4,,0,,0,,,286,,,,1005.3,,,,,,,0.0,,,,,,,,,,,-1.9,,7.4,,7.1,
2018-01-01 17:40:00,191,156.0,,,,5.7,3.8,,12.4,,0,,0,,,303,,,,1005.5,,,,,,,0.0,,,,,,,,,,,-2.2,,7.2,,7.3,
2018-01-01 18:40:00,200,143.0,,,,2.8,2.2,,7.4,,0,,0,,,324,,,,1006.7,,,,,,,0.0,,,,,,,,,,,-0.2,,6.3,,5.4,
2018-01-01 19:40:00,212,213.0,,,,2.9,3.8,,6.5,,0,,0,,,324,,,,1007.0,,,,,,,0.0,,,,,,,,,,,-1.6,,5.8,,6.3,
2018-01-01 20:40:00,199,210.0,,,,3.9,2.9,,10.9,,0,,0,,,322,,,,1007.7,,,,,,,0.0,,,,,,,,,,,-0.8,,6.3,,5.7,
2018-01-01 21:40:00,219,240.0,,,,5.4,8.3,,13.6,,0,,0,,,328,,,,1008.5,,,,,,,0.0,,,,,,,,,,,2.1,,6.8,,7.6,
2018-01-01 22:40:00,242,240.0,,,,6.9,8.4,,16.9,,0,,0,,,327,,,,1010.3,,,,,,,0.1,,,,,,,,,,,2.1,,7.2,,7.3,
2018-01-01 23:40:00,248,250.0,,,,10.1,9.8,,18.5,,0,,0,,,314,,,,1012.0,,,,,,,0.0,,,,,,,,,,,0.8,,7.2,,7.1,
2018-01-02 00:40:00,255,235.0,,,,7.2,5.7,,13.7,,0,,0,,,319,,,,1013.4,,,,,,,0.2,,,,,,,,,,,1.4,2.4,5.8,,5.3,6.5
2018-01-02 01:40:00,243,255.0,,,,5.1,6.0,,10.5,,0,,0,,,310,,,,1014.1,,,,,,,0.0,,,,,,,,,,,0.1,,5.9,,5.9,
2018-01-02 02:40:00,238,242.0,,,,5.3,5.6,,10.7,,0,,0,,,322,,,,1014.8,,,,,,,0.0,,,,,,,,,,,0.7,,5.3,,5.1,
2018-01-02 03:40:00,230,234.0,,,,5.6,8.2,,12.4,,0,,0,,,303,,,,1015.0,,,,,,,0.0,,,,,,,,,,,-0.3,,5.3,,5.5,
2018-01-02 04:40:00,242,250.0,,,,7.6,5.3,,14.7,,0,,0,,,264,,,,1015.6,,,,,,,0.0,,,,,,,,,,,-0.6,,5.3,,5.2,
2018-01-02 05:40:00,244,238.0,,,,6.7,7.1,,12.3,,0,,0,,,289,,,,1015.9,,,,,,,0.0,,,,,,,,,,,-0.1,,5.1,,5.1,
2018-01-02 06:40:00,243,245.0,,,,5.1,5.0,,9.5,,0,,0,,,275,,,,1016.4,,,,,,,0.0,,,,,,,,,,,-0.1,,5.0,,5.0,
2018-01-02 07:40:00,250,250.0,,,,5.2,4.2,,14.0,,0,,0,,,300,,,,1017.9,,,,,,,0.2,,,,,,,,,,,0.5,,4.7,,4.9,
2018-01-02 08:40:00,235,123.0,,,,3.8,1.5,,13.3,,0,,0,,,314,,,,1019.2,,,,,,,0.2,,,,,,,,,,,1.3,,3.9,,4.2,
2018-01-02 09:40:00,225,244.0,,,,3.8,6.0,,9.8,,0,,0,,,274,,,,1020.1,,,,,,,0.0,,,,,,,,,,,0.5,,4.8,,4.9,
2018-01-02 10:40:00,239,228.0,,,,6.4,5.9,,12.5,,0,,0,,,276,,,,1020.0,,,,,,,0.0,,,,,,,,,,,-0.1,,5.1,,5.4,
2018-01-02 11:40:00,210,214.0,,,,4.9,5.0,,8.5,,0,,0,,,298,,,,1019.4,,,,,,,0.0,,,,,,,,,,,-1.2,,5.7,,6.0,
2018-01-02 12:40:00,205,217.0,,,,4.4,2.8,,10.0,,0,,0,,,303,,,,1019.4,,,,,,,0.0,,,,,,,,,,,-0.9,,6.1,,6.4,
2018-01-02 13:40:00,250,301.0,,,,3.6,0.7,,12.3,,0,,0,,,312,,,,1019.6,,,,,,,0.0,,,,,,,,,,,0.2,,5.8,,5.3,
2018-01-02 14:40:00,346,248.0,,,,1.2,1.9,,3.4,,0,,0,,,287,,,,1019.8,,,,,,,0.0,,,,,,,,,,,-0.7,,5.3,,5.6,
2018-01-02 15:40:00,236,241.0,,,,3.4,2.0,,7.1,,0,,0,,,270,,,,1020.1,,,,,,,0.0,,,,,,,,,,,-2.3,,5.3,,4.5,
2018-01-02 16:40:00,232,242.0,,,,2.5,3.3,,5.6,,0,,0,,,276,,,,1019.6,,,,,,,0.0,,,,,,,,,,,-0.6,,3.7,,3.2,
2018-01-02 17:40:00,232,235.0,,,,4.0,3.3,,6.1,,0,,0,,,287,,,,1019.7,,,,,,,0.0,,,,,,,,,,,-0.7,,3.2,,3.2,
2018-01-02 18:40:00,227,197.0,,,,4.0,5.3,,9.1,,0,,0,,,307,,,,1019.5,,,,,,,0.0,,,,,,,,,,,-1.6,,4.0,,4.6,
2018-01-02 19:40:00,217,195.0,,,,4.2,5.7,,8.9,,0,,0,,,311,,,,1018.9,,,,,,,0.0,,,,,,,,,,,-1.7,,4.3,,4.6,
2018-01-02 20:40:00,203,200.0,,,,5.8,6.5,,10.9,,0,,0,,,319,,,,1017.8,,,,,,,0.0,,,,,,,,,,,-2.2,,4.7,,4.9,
2018-01-02 21:40:00,193,187.0,,,,7.9,9.4,,13.9,,0,,0,,,323,,,,1016.5,,,,,,,0.0,,,,,,,,,,,-2.4,,5.0,,5.0,
2018-01-02 22:40:00,200,199.0,,,,8.5,8.6,,13.8,,0,,0,,,330,,,,1017.2,,,,,,,0.2,,,,,,,,,,,0.2,,4.1,,3.3,
2018-01-02 23:40:00,203,204.0,,,,8.7,8.8,,15.9,,0,,0,,,331,,,,1016.3,,,,,,,0.4,,,,,,,,,,,0.8,,2.6,,2.6,
2018-01-03 00:40:00,202,204.0,,,,8.9,9.2,,15.2,,0,,0,,,334,,,,1014.8,,,,,,,0.2,,,,,,,,,,,0.9,2.3,2.6,,2.8,13.9
2018-01-03 01:40:00,206,206.0,,,,9.3,9.3,,15.7,,0,,0,,,335,,,,1013.2,,,,,,,0.0,,,,,,,,,,,1.0,,3.2,,3.7,
2018-01-03 02:40:00,206,200.0,,,,9.6,10.4,,16.1,,0,,0,,,338,,,,1012.5,,,,,,,0.0,,,,,,,,,,,0.9,,3.9,,3.9,
2018-01-03 03:40:00,199,209.0,,,,9.0,5.7,,15.6,,0,,0,,,332,,,,1009.8,,,,,,,0.0,,,,,,,,,,,0.8,,4.4,,4.8,
2018-01-03 04:40:00,205,208.0,,,,9.3,9.8,,16.5,,0,,0,,,332,,,,1008.2,,,,,,,0.0,,,,,,,,,,,0.4,,4.8,,4.7,
2018-01-03 05:40:00,205,201.0,,,,9.4,9.8,,15.8,,0,,0,,,335,,,,1004.6,,,,,,,0.0,,,,,,,,,,,0.5,,5.4,,5.8,
2018-01-03 06:40:00,192,194.0,,,,11.6,11.2,,19.3,,0,,0,,,334,,,,1001.9,,,,,,,0.0,,,,,,,,,,,0.9,,6.4,,6.8,
2018-01-03 07:40:00,189,186.0,,,,11.0,11.2,,17.7,,0,,0,,,338,,,,999.7,,,,,,,0.0,,,,,,,,,,,1.9,,7.3,,7.8,
2018-01-03 08:40:00,187,190.0,,,,10.8,9.9,,19.2,,0,,0,,,344,,,,997.8,,,,,,,0.0,,,,,,,,,,,3.0,,9.3,,9.6,
2018-01-03 09:40:00,204,241.0,,,,9.0,9.8,,18.4,,0,,0,,,351,,,,997.3,,,,,,,0.0,,,,,,,,,,,5.5,,10.9,,13.6,
2018-01-03 10:40:00,265,268.0,,,,7.6,11.1,,23.3,,133,,0,,,361,,,,1001.8,,,,,,,2.6,,,,,,,,,,,7.6,,12.0,,11.6,
2018-01-03 11:40:00,269,288.0,,,,11.0,9.1,,31.2,,136,,0,,,345,,,,1008.1,,,,,,,2.6,,,,,,,,,,,2.9,,10.1,,6.2,
2018-01-03 12:40:00,223,227.0,,,,5.7,7.6,,12.3,,0,,0,,,337,,,,1009.6,,,,,,,0.7,,,,,,,,,,,1.4,,6.1,,6.7,
2018-01-03 13:40:00,219,217.0,,,,5.9,3.8,,11.0,,0,,0,,,337,,,,1010.0,,,,,,,0.2,,,,,,,,,,,2.1,,6.1,,6.0,
2018-01-03 14:40:00,256,276.0,,,,5.0,2.5,,17.0,,0,,0,,,315,,,,1011.2,,,,,,,0.1,,,,,,,,,,,2.2,,5.8,,5.4,
2018-01-03 15:40:00,90,101.0,,,,1.6,0.3,,4.4,,0,,0,,,317,,,,1011.5,,,,,,,0.2,,,,,,,,,,,1.6,,5.3,,5.8,
2018-01-03 16:40:00,228,229.0,,,,5.4,5.0,,10.2,,0,,0,,,281,,,,1010.5,,,,,,,0.0,,,,,,,,,,,-0.1,,6.6,,6.7,
2018-01-03 17:40:00,245,252.0,,,,6.2,3.2,,13.1,,0,,0,,,289,,,,1010.8,,,,,,,0.0,,,,,,,,,,,1.1,,6.4,,5.7,
2018-01-03 18:40:00,255,261.0,,,,4.7,7.7,,14.5,,0,,0,,,310,,,,1012.2,,,,,,,1.2,,,,,,,,,,,2.4,,6.0,,5.6,
2018-01-03 19:40:00,254,232.0,,,,5.0,5.0,,14.3,,0,,0,,,292,,,,1012.0,,,,,,,0.0,,,,,,,,,,,0.7,,5.4,,5.9,
2018-01-03 20:40:00,242,245.0,,,,8.1,7.9,,15.5,,0,,0,,,303,,,,1011.4,,,,,,,0.0,,,,,,,,,,,0.5,,6.4,,6.7,
2018-01-03 21:40:00,247,244.0,,,,7.6,7.1,,14.9,,0,,0,,,309,,,,1011.2,,,,,,,0.0,,,,,,,,,,,0.7,,6.5,,6.8,
2018-01-03 22:40:00,244,228.0,,,,6.1,3.5,,15.4,,0,,0,,,328,,,,1012.1,,,,,,,0.9,,,,,,,,,,,1.9,,5.7,,4.9,
2018-01-03 23:40:00,242,241.0,,,,4.9,3.8,,10.4,,0,,0,,,316,,,,1010.7,,,,,,,0.0,,,,,,,,,,,1.3,,6.3,,6.4,
2018-01-04 00:40:00,236,230.0,,,,6.6,7.1,,11.3,,0,,0,,,324,,,,1010.7,,,,,,,0.0,,,,,,,,,,,2.4,4.0,5.8,,5.6,11.7
2018-01-04 01:40:00,216,214.0,,,,4.4,2.5,,11.4,,0,,0,,,319,,,,1011.0,,,,,,,0.0,,,,,,,,,,,1.8,,5.6,,5.2,
2018-01-04 02:40:00,211,221.0,,,,3.5,4.1,,7.3,,0,,0,,,321,,,,1010.1,,,,,,,0.0,,,,,,,,,,,1.6,,5.4,,5.2,
2018-01-04 03:40:00,206,198.0,,,,3.9,5.8,,8.5,,0,,0,,,326,,,,1010.0,,,,,,,0.0,,,,,,,,,,,1.8,,4.7,,4.4,
2018-01-04 04:40:00,194,199.0,,,,7.1,7.5,,12.1,,0,,0,,,324,,,,1009.3,,,,,,,0.0,,,,,,,,,,,1.8,,4.2,,4.2,
2018-01-04 05:40:00,202,199.0,,,,6.9,7.8,,11.6,,0,,0,,,329,,,,1008.8,,,,,,,0.0,,,,,,,,,,,1.7,,4.5,,4.8,
2018-01-04 06:40:00,194,197.0,,,,8.6,9.3,,13.5,,0,,0,,,331,,,,1008.4,,,,,,,0.0,,,,,,,,,,,1.9,,4.7,,4.7,
2018-01-04 07:40:00,199,202.0,,,,7.6,6.9,,12.1,,0,,0,,,334,,,,1008.5,,,,,,,0.1,,,,,,,,,,,2.1,,4.6,,4.5,
2018-01-04 08:40:00,203,203.0,,,,8.0,8.1,,12.6,,0,,0,,,337,,,,1008.1,,,,,,,0.7,,,,,,,,,,,2.4,,4.4,,4.2,
2018-01-04 09:40:00,203,207.0,,,,8.4,8.8,,15.2,,0,,0,,,338,,,,1007.2,,,,,,,2.8,,,,,,,,,,,2.5,,4.2,,4.3,
2018-01-04 10:40:00,208,208.0,,,,8.7,8.2,,15.4,,0,,0,,,341,,,,1006.1,,,,,,,3.1,,,,,,,,,,,2.9,,4.6,,4.7,
2018-01-04 11:40:00,198,192.0,,,,9.1,8.8,,14.4,,0,,0,,,344,,,,1005.2,,,,,,,2.1,,,,,,,,,,,3.4,,4.9,,5.1,
2018-01-04 12:40:00,195,192.0,,,,9.0,8.5,,13.7,,0,,0,,,345,,,,1004.6,,,,,,,2.3,,,,,,,,,,,3.7,,5.3,,5.3,
2018-01-04 13:40:00,190,186.0,,,,9.8,9.3,,14.7,,0,,0,,,344,,,,1004.7,,,,,,,3.0,,,,,,,,,,,4.2,,5.6,,5.8,
2018-01-04 14:40:00,189,186.0,,,,10.0,10.5,,15.1,,0,,0,,,346,,,,1004.6,,,,,,,1.6,,,,,,,,,,,4.7,,6.3,,6.5,
2018-01-04 15:40:00,187,187.0,,,,10.2,9.9,,15.3,,0,,0,,,347,,,,1004.8,,,,,,,1.9,,,,,,,,,,,5.0,,6.7,,6.7,
2018-01-04 16:40:00,193,193.0,,,,10.4,9.5,,15.1,,0,,0,,,347,,,,1004.5,,,,,,,2.3,,,,,,,,,,,5.2,,6.6,,6.8,
2018-01-04 17:40:00,194,198.0,,,,9.8,8.5,,14.9,,0,,0,,,346,,,,1004.3,,,,,,,1.0,,,,,,,,,,,5.0,,6.9,,6.8,
2018-01-04 18:40:00,196,191.0,,,,8.4,8.6,,14.9,,0,,0,,,340,,,,1003.7,,,,,,,0.0,,,,,,,,,,,5.1,,7.0,,6.8,
2018-01-04 19:40:00,218,118.0,,,,4.1,1.6,,14.1,,0,,0,,,340,,,,1003.5,,,,,,,0.0,,,,,,,,,,,5.6,,7.3,,7.7,
2018-01-04 20:40:00,192,201.0,,,,3.8,4.4,,10.5,,0,,0,,,350,,,,1004.3,,,,,,,0.7,,,,,,,,,,,5.9,,7.9,,7.9,
2018-01-04 21:40:00,200,206.0,,,,5.1,5.8,,10.6,,0,,0,,,348,,,,1003.9,,,,,,,0.3,,,,,,,,,,,6.3,,8.5,,9.4,
2018-01-04 22:40:00,221,205.0,,,,8.3,4.1,,20.2,,0,,0,,,326,,,,1003.9,,,,,,,0.2,,,,,,,,,,,5.8,,11.3,,10.6,
2018-01-04 23:40:00,208,231.0,,,,5.3,4.0,,13.3,,0,,0,,,326,,,,1004.8,,,,,,,0.0,,,,,,,,,,,5.6,,9.4,,7.9,
2018-01-05 00:40:00,227,3.0,,,,2.9,1.3,,5.7,,0,,0,,,326,,,,1005.5,,,,,,,0.0,,,,,,,,,,,5.7,4.8,7.9,,7.8,10.4
2018-01-05 01:40:00,79,47.0,,,,1.9,2.1,,4.6,,0,,0,,,334,,,,1006.3,,,,,,,0.0,,,,,,,,,,,6.3,,8.5,,9.1,
2018-01-05 02:40:00,44,49.0,,,,4.0,5.0,,11.0,,0,,0,,,337,,,,1006.6,,,,,,,0.0,,,,,,,,,,,8.0,,9.3,,9.4,
2018-01-05 03:40:00,62,52.0,,,,4.9,5.8,,12.2,,0,,0,,,328,,,,1006.4,,,,,,,0.0,,,,,,,,,,,6.7,,8.9,,8.6,
2018-01-05 04:40:00,44,37.0,,,,5.0,5.0,,11.8,,0,,0,,,332,,,,1006.5,,,,,,,0.0,,,,,,,,,,,6.0,,8.4,,7.9,
2018-01-05 05:40:00,67,141.0,,,,2.5,2.0,,6.3,,0,,0,,,330,,,,1006.6,,,,,,,0.0,,,,,,,,,,,5.9,,7.5,,7.3,
2018-01-05 06:40:00,227,219.0,,,,2.9,4.3,,6.0,,0,,0,,,342,,,,1006.6,,,,,,,0.0,,,,,,,,,,,5.0,,7.1,,6.9,
2018-01-05 07:40:00,217,196.0,,,,4.4,4.2,,7.2,,0,,0,,,289,,,,1006.3,,,,,,,0.0,,,,,,,,,,,4.2,,6.2,,5.9,
2018-01-05 08:40:00,202,193.0,,,,4.7,4.7,,9.0,,0,,0,,,273,,,,1005.5,,,,,,,0.0,,,,,,,,,,,4.8,,6.8,,8.1,
2018-01-05 09:40:00,184,174.0,,,,3.0,3.4,,7.2,,0,,0,,,279,,,,1004.9,,,,,,,0.0,,,,,,,,,,,5.2,,9.1,,9.9,
2018-01-05 10:40:00,180,187.0,,,,3.4,2.3,,7.0,,0,,0,,,307,,,,1004.3,,,,,,,0.0,,,,,,,,,,,5.3,,10.2,,10.4,
2018-01-05 11:40:00,129,142.0,,,,2.4,2.0,,5.4,,0,,0,,,338,,,,1003.4,,,,,,,0.0,,,,,,,,,,,6.1,,10.0,,10.3,
2018-01-05 12:40:00,223,221.0,,,,2.4,2.1,,4.4,,0,,0,,,339,,,,1003.6,,,,,,,0.0,,,,,,,,,,,5.8,,10.0,,9.8,
2018-01-05 13:40:00,193,129.0,,,,1.9,1.7,,3.4,,0,,0,,,341,,,,1003.9,,,,,,,0.0,,,,,,,,,,,5.8,,9.5,,9.2,
2018-01-05 14:40:00,135,116.0,,,,1.1,1.0,,3.0,,0,,0,,,341,,,,1004.4,,,,,,,0.0,,,,,,,,,,,6.1,,8.8,,8.6,
2018-01-05 15:40:00,265,252.0,,,,1.6,1.4,,3.2,,0,,0,,,337,,,,1004.6,,,,,,,0.0,,,,,,,,,,,6.3,,8.1,,7.5,
2018-01-05 16:40:00,239,240.0,,,,1.4,2.7,,3.6,,0,,0,,,329,,,,1004.5,,,,,,,0.0,,,,,,,,,,,6.1,,8.1,,8.1,
2018-01-05 17:40:00,257,261.0,,,,2.9,2.9,,4.4,,0,,0,,,312,,,,1004.8,,,,,,,0.0,,,,,,,,,,,5.9,,7.7,,7.8,
2018-01-05 18:40:00,229,199.0,,,,2.1,2.0,,3.7,,0,,0,,,300,,,,1005.7,,,,,,,0.0,,,,,,,,,,,5.2,,6.6,,6.5,
2018-01-05 19:40:00,274,276.0,,,,1.8,1.3,,3.8,,0,,0,,,329,,,,1006.2,,,,,,,0.0,,,,,,,,,,,5.2,,6.8,,7.4,
2018-01-05 20:40:00,230,291.0,,,,1.4,2.1,,2.8,,0,,0,,,344,,,,1007.0,,,,,,,0.0,,,,,,,,,,,5.2,,7.1,,6.7,
2018-01-05 21:40:00,256,246.0,,,,1.3,0.9,,2.9,,0,,0,,,339,,,,1007.9,,,,,,,0.0,,,,,,,,,,,4.8,,6.7,,6.3,
2018-01-05 22:40:00,180,276.0,,,,1.4,1.7,,2.4,,0,,0,,,325,,,,1008.1,,,,,,,0.0,,,,,,,,,,,4.6,,5.8,,5.5,
2018-01-05 23:40:00,255,254.0,,,,2.3,2.6,,3.4,,0,,0,,,311,,,,1008.3,,,,,,,0.0,,,,,,,,,,,3.9,,5.0,,4.8,
2018-01-06 00:40:00,228,212.0,,,,2.7,2.9,,4.3,,0,,0,,,286,,,,1008.0,,,,,,,0.0,,,,,,,,,,,3.6,0.7,4.4,,4.5,8.8
2018-01-06 01:40:00,262,292.0,,,,1.9,1.8,,3.9,,0,,0,,,284,,,,1008.5,,,,,,,0.0,,,,,,,,,,,2.7,,3.5,,3.0,
2018-01-06 02:40:00,279,45.0,,,,0.9,0.1,,2.4,,0,,0,,,334,,,,1008.1,,,,,,,0.0,,,,,,,,,,,3.4,,3.7,,3.9,
2018-01-06 03:40:00,279,294.0,,,,0.7,1.0,,1.4,,0,,0,,,334,,,,1007.8,,,,,,,0.0,,,,,,,,,,,3.6,,4.1,,4.1,
2018-01-06 04:40:00,241,226.0,,,,1.4,1.3,,2.2,,0,,0,,,333,,,,1007.6,,,,,,,0.0,,,,,,,,,,,3.6,,4.1,,4.2,
2018-01-06 05:40:00,242,260.0,,,,2.2,1.7,,3.6,,0,,0,,,292,,,,1007.6,,,,,,,0.0,,,,,,,,,,,2.8,,4.0,,3.6,
2018-01-06 06:40:00,254,227.0,,,,1.0,1.3,,2.0,,0,,0,,,263,,,,1007.6,,,,,,,0.0,,,,,,,,,,,1.8,,2.3,,1.9,
2018-01-06 07:40:00,238,241.0,,,,1.1,1.2,,2.3,,0,,0,,,262,,,,1007.9,,,,,,,0.0,,,,,,,,,,,0.7,,1.1,,0.8,
2018-01-06 08:40:00,250,290.0,,,,1.3,0.6,,3.2,,0,,0,,,261,,,,1007.4,,,,,,,0.0,,,,,,,,,,,3.1,,2.8,,4.2,
2018-01-06 09:40:00,56,93.0,,,,1.2,1.4,,3.4,,0,,0,,,262,,,,1007.5,,,,,,,0.0,,,,,,,,,,,4.6,,5.1,,6.4,
2018-01-06 10:40:00,80,64.0,,,,2.4,3.4,,7.1,,0,,0,,,268,,,,1007.2,,,,,,,0.0,,,,,,,,,,,5.1,,7.5,,7.8,
2018-01-06 11:40:00,57,58.0,,,,3.1,2.8,,6.5,,0,,0,,,272,,,,1006.9,,,,,,,0.0,,,,,,,,,,,5.7,,8.0,,8.4,
2018-01-06 12:40:00,53,51.0,,,,3.2,2.9,,6.0,,0,,0,,,274,,,,1006.8,,,,,,,0.0,,,,,,,,,,,5.9,,8.7,,8.8,
2018-01-06 13:40:00,54,48.0,,,,4.0,4.5,,8.0,,0,,0,,,273,,,,1007.5,,,,,,,0.0,,,,,,,,,,,5.2,,8.6,,8.3,
2018-01-06 14:40:00,47,49.0,,,,3.9,3.0,,7.6,,0,,0,,,272,,,,1008.0,,,,,,,0.0,,,,,,,,,,,5.1,,8.0,,7.7,
2018-01-06 15:40:00,56,61.0,,,,2.3,1.1,,5.2,,0,,0,,,270,,,,1008.8,,,,,,,0.0,,,,,,,,,,,4.6,,6.9,,6.1,
2018-01-06 16:40:00,66,42.0,,,,1.3,1.1,,2.9,,0,,0,,,267,,,,1009.8,,,,,,,0.0,,,,,,,,,,,4.2,,5.6,,5.2,
2018-01-06 17:40:00,354,20.0,,,,1.0,1.0,,2.3,,0,,0,,,264,,,,1010.7,,,,,,,0.0,,,,,,,,,,,3.2,,3.6,,3.3,
2018-01-06 18:40:00,328,311.0,,,,1.0,0.8,,2.2,,0,,0,,,266,,,,1011.5,,,,,,,0.0,,,,,,,,,,,1.7,,2.3,,1.8,
2018-01-06 19:40:00,300,318.0,,,,0.8,0.7,,2.3,,0,,0,,,293,,,,1011.9,,,,,,,0.0,,,,,,,,,,,1.7,,1.4,,1.8,
2018-01-06 20:40:00,304,119.0,,,,0.7,0.4,,1.6,,0,,0,,,331,,,,1012.3,,,,,,,0.0,,,,,,,,,,,2.4,,2.0,,2.5,
2018-01-06 21:40:00,207,76.0,,,,0.5,0.2,,1.9,,0,,0,,,299,,,,1012.6,,,,,,,0.0,,,,,,,,,,,2.3,,2.6,,2.4,
2018-01-06 22:40:00,346,19.0,,,,0.9,1.1,,2.8,,0,,0,,,291,,,,1013.0,,,,,,,0.0,,,,,,,,,,,1.6,,2.0,,1.7,
2018-01-06 23:40:00,74,,,,,1.2,,,3.6,,0,,0,,,287,,,,1013.0,,,,,,,0.0,,,,,,,,,,,2.6,,2.0,,,
2018-01-07 00:40:00,76,4.0,,,,0.9,0.3,,2.5,,0,,0,,,317,,,,1013.6,,,,,,,0.0,,,,,,,,,,,2.2,-0.1,2.1,,2.3,3.4
2018-01-07 01:40:00,225,282.0,,,,0.7,1.2,,2.5,,0,,0,,,318,,,,1014.1,,,,,,,0.0,,,,,,,,,,,1.9,,2.3,,2.0,
2018-01-07 02:40:00,302,300.0,,,,1.0,0.7,,2.4,,0,,0,,,328,,,,1014.4,,,,,,,0.0,,,,,,,,,,,2.0,,2.0,,2.1,
2018-01-07 03:40:00,294,306.0,,,,1.3,1.2,,2.8,,0,,0,,,326,,,,1014.3,,,,,,,0.0,,,,,,,,,,,2.2,,2.3,,2.3,
2018-01-07 04:40:00,323,347.0,,,,0.7,0.5,,2.0,,0,,0,,,321,,,,1014.6,,,,,,,0.0,,,,,,,,,,,1.9,,2.2,,2.0,
2018-01-07 05:40:00,286,267.0,,,,0.9,0.2,,2.6,,0,,0,,,307,,,,1014.6,,,,,,,0.0,,,,,,,,,,,1.2,,1.6,,1.3,
2018-01-07 06:40:00,18,107.0,,,,0.9,0.6,,2.4,,0,,0,,,306,,,,1015.6,,,,,,,0.0,,,,,,,,,,,0.8,,1.0,,0.9,
2018-01-07 07:40:00,360,288.0,,,,0.9,1.0,,3.5,,0,,0,,,304,,,,1016.4,,,,,,,0.0,,,,,,,,,,,0.7,,0.6,,0.8,
2018-01-07 08:40:00,135,124.0,,,,0.9,0.6,,2.2,,0,,0,,,293,,,,1016.9,,,,,,,0.0,,,,,,,,,,,0.8,,0.9,,0.9,
2018-01-07 09:40:00,270,283.0,,,,0.9,1.6,,2.1,,0,,0,,,287,,,,1017.1,,,,,,,0.0,,,,,,,,,,,1.8,,1.5,,1.9,
2018-01-07 10:40:00,56,16.0,,,,0.9,0.7,,2.5,,0,,0,,,287,,,,1016.6,,,,,,,0.0,,,,,,,,,,,2.8,,2.5,,2.9,
2018-01-07 11:40:00,45,290.0,,,,0.8,0.5,,2.3,,0,,0,,,293,,,,1016.4,,,,,,,0.0,,,,,,,,,,,3.1,,3.2,,3.2,
